issue_year,issue_no,ordinal,period_from,period_to,crop_group,pest_name,level,crop_names,body,source_file
2023,10,1,2023-08-01,2023-08-15,식량작물,열대거세미나방,주의보,"수수,옥수수","❍ 열대거세미나방은 아메리카 대륙의 열대·아열대 지역이 원산으로아프리카(‘16), 동남아(’18), 중국(‘19.1), 한국(’19.6) 등으로 확산됨
❍ 올해 4월 18일 제주에서 성충이 첫 발견 되었으며, 유충은 전북부안에서 5.19일 발견됨. 최근 4년간 가장 빠른 시기에 성충과유충 발견(작년 대비 약 한달 빠름)⇒ 작년 발생지역과 주 비래지역(충남, 전남‧북, 경남, 제주 등)은성페로몬트랩 예찰 및 어린 옥수수 포장 중심 철저한 관찰이 필요
⇒ 유충기(애벌레)에 식물의 잎과 줄기를 갉아먹어 피해를 발생시키며기주식물은 80여 작물(옥수수, 수수 등)로 알려져 있음
⇒ 적기방제하면 피해가 최소화(1%이내) 되지만, 방제시기를 놓칠경우 10~30%이상 피해가 발생 될 수 있음
❍ 방제를 위해 발생초기(유충1~3령) 등록약제로 살포하되, 약제를살포할 때는 약액이 골고루 작물에 묻도록 충분히 살포□ 열대거세미나방 유충형태 및 피해 사진열대거세미나방 유충(왼쪽, 2령), 피해 사진(오른쪽)",10호.txt
2023,10,2,2023-08-01,2023-08-15,식량작물,멸강나방,주의보,"벼,옥수수","❍ 멸강나방은 해외에서 날아와 피해를 주는 장거리 비래 해충으로화본과 목초류, 옥수수 등에 발생해 피해를 줌
❍ 보통 5월말 ~6월초에 비래하며 올해는 5월 중순에 가장 비래가많이 된 것으로 확인되었으며 벼, 옥수수와 목초 등 사료작물에 피해를 줌. 주로 피해를 주는 기주식물 재배지역을 예찰하여 어린벌레가 발견되면 등록 약제로 발생 초기에 방제멸강나방 유충(왼쪽)과 피해(오른쪽) 사진",10호.txt
2023,10,3,2023-08-01,2023-08-15,식량작물,"벼멸구, 흰등멸구, 혹명나방",주의보,벼,"❍ 벼멸구․흰등멸구는 중국 남부지방에서 기류를 타고 날아와 볏대에알을 낳는 시기임. 중국 흰등멸구, 혹명나방 등의 발생 동향은 전년보다 적은 것으로 보고되었으나 장마기간이 길어짐에 따라 비래에 적합한 기류가 형성될 경우 국내로 유입될 가능성 있음
⇒ 비래해충은 초기방제가 중요하므로 볏대 아래쪽을 잘 살펴보아발생이 많으면 적용약제로 방제
❍ 혹명나방은 논을 살펴보아 포장에 피해 잎이 1~2개정도 보일 때방제를 실시해야 함
⇒ 막대기로 벼 포기를 쳐서 나방이 나는 모습을 보거나 유충 피해인벼 잎이 세로로 말리는 증상이 보이면 방제",10호.txt
2023,10,4,2023-08-01,2023-08-15,식량작물,먹노린재,예보,벼,"❍ 전남‧북, 경남, 경북 등 지역에 발생이 확인되고 있으며, 발생 시·군이늘어나고 있음. 먹노린재 피해가 발생했던 지역에서는 철저한예찰과 방제 필요
❍ 7∼8월에 약충과 성충이 벼 줄기에 구침을 박고 흡즙하여 심하면수확량에 큰 영향을 줌, 주로 논 가장자리에 피해증상이 많이나타나는데 생육초기에 심하게 피해를 받으면 초장이 짧아지고이삭이 나오지 않을 수 있음
⇒ 성충의 방제적기는 겨울을 지난 성충의 이동 최성기인 6월 하순∼7월 상순으로 주변 논두렁이나 배수로 등 서식처가 될 만한곳까지 약제를 살포하면 방제효과를 높일 수 있음",10호.txt
2023,10,5,2023-08-01,2023-08-15,식량작물,벼 잎도열병,주의보,벼,"❍ 잎도열병은 거름기가 많은 논에서 비가 자주 내리거나 장마가지속되면 발생함.
❍ 일부 지역에서 도열병 병징이 확인되고 있고 도열병에 약한 품종에서는 국지적인 강우로 인해 추가발생할 가능성 있음
⇒ 발생 초기에 적용약제로 방제하고 벼가침수됐을 경우에는 필요에 따라 추가적으로 방제 실시⇒ 전년도 생육 후기 병해 발생이 많아 전염원이 포장 등에 잔존하고 있을 가능성이 높으므로 사전방제가 필요하며,발생이 우려되는 지역에서는 예찰을통해 발생 초기에 적용 약제로 방제가 중요함
⇒ 또한, 8월 중하순 남서쪽에서 다가오는 저기압의 영향으로 많은비의 예보가 있어 이삭도열병 발생 예방을 위해 출수기 전후에정밀한 예찰과 방제가 필요
⇒ 경남, 경북 등 도열병 감수성 품종 재배포장은 정밀예찰 필요",10호.txt
2023,10,6,2023-08-01,2023-08-15,식량작물,"잎집무늬마름병, 흰잎마름병",주의보,,"❍ 잎집무늬마름병은 장마 이후에 온·습도가 높아 병 발생에 유리한환경이 지속되면 확산이 우려됨
⇒ 중간물떼기를 잘하여 주고, 논을 잘 살펴 병든 줄기가 20%이상이면 등록 약제를 살포
❍ 흰잎마름병은 전남, 전북에서 발생이 확인되었으며 최근 집중호우로 인해 침수지역으로 병이 급속히 번질 우려가 있으므로등록 약제를 선택하여 잎도열병과 동시에 방제",10호.txt
2023,10,7,2023-08-01,2023-08-15,채소,"담배나방(고추 등), 파밤나방(고추, 콩 등)",주의보,고추,"❍ 담배나방은 피해가 전국적으로 발생하고 있는데 장마가 끝나고 기온이높아지면 담배나방, 파밤나방 등의 발생이 증가할 우려가 있음
⇒ 담배나방 등 나방류 유충은 3령 이상 자라면 약제저항성이커져서 방제효과가 떨어지므로 새 잎을 중심으로 자세히 살펴보고 알이나 유충을 발견하는 즉시 등록 약제로 방제",10호.txt
2023,10,8,2023-08-01,2023-08-15,채소,바이러스‧역병‧탄저병(고추),주의보,"고추,방울토마토,오이","❍ 최근 고온으로 인해 진딧물, 총채벌레의 밀도가 높아져서 이들매개충들이 전파하는 바이러스병 확산이 우려됨
⇒ 오이모자이크바이러스(CMV)를 매개하는 진딧물과 토마토반점위조바이러스(TSWV)의 매개충인 총채벌레의 효율적인 방제는기작이 다른 등록 약제를 선택하여 방제⇒ 바이러스병에 감염되면 방제가 어려우므로 예방 위주로 방제 철저⇒ 바이러스병이 이미 진전된 포장에서는 고추의 주간 부위에서자란 세력이 강한 측지 관리로 고추 수량 확보
❍ 역병은 비가 오는 다습한 환경조건에서 발생이 증가하며 토양에있는 병원균이 물을 통하여 전염되는 병으로 일단 발병하면 급속하게 번지고 방제 효과가 낮음
⇒ 병 발생이 많았던 곳은 두둑을 높여 준 후 배수로를 정비하고병든 포기 발견 즉시 제거하여 전염원을 제거하고 비오기 전후등록 약제를 주기적으로 살포
❍ 고추 탄저병은 지난해 버려진 병든 잔재물이 가장 중요한 1차 전염원이고, 장마가 길고 비가 잦은 해에 발생이 많음
⇒ 병든 과실을 그냥 두거나 이랑사이에 버리면 방제효과는 50%이상 감소하므로 병든 과실은 발견 즉시 매립 또는 제거하는것이 효과적이며, 재식거리를 넓히고 두둑을 높게 하고 물 빠짐을좋게 하여 발병에 좋은 환경을 차단함
* 고추 관찰포 탄저병 병든과율 : (7.16.) 0.09%→ (8.1.) 0.60%로 조사됨",10호.txt
2023,10,9,2023-08-01,2023-08-15,채소,"고랭지 무·배추 무름병, 뿌리혹병",주의보,"무,배추","❍ 무름병은 세균에 의한 병으로 온도가 높을 때 많이 발생하며땅과 맞닿은 부분의 잎자루와 줄기부터 발병해서 결구 속까지무르고 부패하게 됨
❍ 장마 이후 기온이 올라가고 습도가 높아지면 발생이 증가할 가능성이 높음
⇒ 병원균은 건조에 약하므로 배수와 통풍이 잘 되도록 관리하며약제 방제 시 등록약제를 본잎이 5∼6매 이후에 7∼10일 간격으로 살포하고 땅 닿는 부분까지 약제가 잘 묻도록 처리
❍ 뿌리혹병은 뿌리에 크고 작은 혹이 생기면서 지상부가 말라죽는병으로 사전에 방제를 철저하게 하지 않은 밭에서 발생⇒ 병원균은 물이나 흙을 통하여 이동하므로 물 빠짐이 좋도록배수로를 잘 정비하고 병 발생 후에는 방제가 어려우므로 병든포기는 발견즉시 제거",10호.txt
2023,10,10,2023-08-01,2023-08-15,채소,진딧물류,예보,고추,"❍ 진딧물류가 고추 등 일부 포장에 발생하기 시작하고 있어 기온이올라가면 급속히 확산되어 피해가 우려됨
⇒ 작물의 신초 부위를 육안으로 관찰하여 예찰하고, 발생포장은초기부터 유효성분과 계통이 다른 약제를 번갈아 가며 방제 필요",10호.txt
