issue_year,issue_no,ordinal,period_from,period_to,topic,crops,body,source_file
2023,10,2,2023-03-06,2023-03-12,볍씨 준비,벼,"❍ 지역별 생태와 용도에 맞는 벼 품종 선택
- 재배목적에 맞게 고품질 밥쌀용, 특수미, 가공용 등
- 용도를 고려하여 이앙 또는 직파재배 등
- 재배방법에 따른 재배안전성이 높은 품종을 선택
- 건전한 볍씨 준비(보급종 사용 및 침지 시 원칙 준수)
❍ 자가 채종한 농가와 자율교환 종자를 사용하는 농가에서는 시군농업기술센터에서 종자 활력검사를 받은 후 사용함
❍ 겨우내 장기 보관했던 농기계는 봄철 사용 전 깨끗이 청소하고 점검과 정비과정을 거쳐야 함
❍ 연료탱크, 연료관, 연결부 등에 균열이 생기면 교환하고 연료탱크 내에 침전물은 제거 후 연료를 채움
❍ 엔진오일이 부족하면 보충하고 색이 검고 점도가 낮으면 교환함
❍ 냉각수의 양과 누수를 확인하고 보조 물탱크의 상한선과 하한선 사이에 있도록 냉각수를 채움
❍ 건식 공기청정기(에어크리너)는 필터 오염상태에 따라 청소하거나 교환하고 습식의 경우 경유나 석유를 이용해 깨끗이 세척 후 사용
❍ 배터리는 윗면의 점검창에서 충전 상태를 확인하고 단자가 부식되었거나 흰색가루가 묻어 있으면 깨끗하게 청소하고 윤활유를 바름
❍ 유효기간이 지난 농약과 각종 농자재를 정리하고, 필요량을 미리 주문해 두어 벼농사를 차질 없이 시작할 수 있도록 함
- 매년 파종기에 육묘실패 사례가 발생하고 있으므로 기계이앙을 할 경우 반드시 시판상토나 육묘상자의 장·단점과 특성을 고려해서 선택
- 모기르기에 필요한 볍씨, 상자, 상토, 소독 약제 등의 자재 준비
❍ 이앙할 포장을 점검하고 토양시료를 채취하여 지역 농업기술센터에 토양검정을 의뢰하여 시비처방서를 발급받아 적정 시비량을 결정",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,3,2023-03-06,2023-03-12,맥류 관리,보리,"❍ 따뜻한 겨울날씨에 웃자람과 잦은 강우로 인한 습해 및 갑작스러운 한파 피해 방지를 위해 포장 내 배수로 정비가 필요함
- 습해와 잎이 누렇게 변하는 것을 예방하기 위해 물길 정비 및 웃거름 사용량 줄여줌
❍ 밀, 보리의 웃거름 주는 시기는 남부지방은 2월 중순~하순, 중․북부지방은 2월 중․하순~3월 상순이며 웃거름 표준시비량은 10a에 요소 비료 9~12㎏임
- 웃거름을 2회로 나누어 주는 것이 좋으나 노력 절감을 위해 전량 1회에 주기도 함
- 토성이 사질토나 작황이 극히 불량한 포장은 2회로 나누어 주고 늦추위로 뿌리 자람이 지연될 경우 1차 웃거름을 다소 늦추어 줌
- 청보리 등 조사료용은 일반 보리보다 30% 정도 비료를 더 많이 시용함",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,4,2023-03-06,2023-03-12,감자 봄재배,감자,"❍ 감자 아주심기 예정일부터 약 20~30일전에 산광싹틔우기를 실시하여 감자를 심은 후 싹이 빨리 올라오도록 하고 중부지방의 산광싹틔우기는 3월 상순~중순에 실시함
- 산광싹틔우기는 15~20℃의 온도와 관계습도 80~85%를 유지하고 30~50% 차광망을 설치한 온실이나 하우스내에서 실시함
❍ 아주심을 때 알맞은 감자싹의 길이는 3~5㎝ 정도이며 뿌리가 잘 발달해야 심은 후 뿌리내림이 양호하고 초기생육도 왕성하게 됨
- 싹을 틔워 아주심는 시기는 남부지방은 3월 상순~중순이며 중부지방은 3월 하순~4월 상순임
- 싹틔움상에서 너무 오랫동안 키워 잎이 전개된 씨감자는 뿌리가 많이 끊기고 수분증산이 많아 뿌리내림이 늦어지므로 잎이 전개되기 직전에 아주심는 것이 바람직함
❍ 감자밭은 아주심기 하루 전이나 심는 날 땅을 고른 후에 이랑을 만들며 늦서리의 피해가 적은 지역에서는 일찍 심을수록 좋음
- 싹틔움상에서 씨감자를 채취할 때는 채취 하루 전 또는 2~3시간 전에 물을 충분히 주어 뿌리가 끊어지지 않게 함
- 아주심기 전에 이랑 사이는 1줄로 심는 경우 60~80㎝로 하고 2줄로 심을 때는 이랑폭을 100㎝ 정도 만들어 포기사이를 20~30㎝로 심음
- 비닐피복 재배 할 때는 감자싹이 완전히 묻히도록 10~20㎝ 두께로 흙을 덮고 전용제초제를 살포 후 비닐로 덮어줌",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,5,2023-03-06,2023-03-12,고구마 육묘,고구마,"❍ 고구마 재배를 위해 10a에 필요한 묘는 4,500~7,100본 정도이고 매회 1,500~2,200본의 싹을 생산할 수 있는 씨고구마를 준비함
- 씨고구마 1㎏에 묘 생산량은 20~30개이므로 10a에 필요한 양은 75~100㎏ 정도임
- 큰 씨고구마는 작은 씨고구마에 비하여 싹이 튼튼하고 좋으나 같은 중량에서 생산되는 싹의 수가 적음
- 작은 씨고구마는 같은 중량에서 생산되는 싹의 수가 많으며 육묘 환경만 좋으면 우수한 싹을 생산할 수 있음
❍ 씨고구마의 선택은 병들지 않은 건전한 고구마, 품종 고유의 특성을 가진 고구마, 저장 중 냉해를 입지 않은 고구마, 재배작형에 알맞은 품종 선택이 중요함
- 검은무늬병, 건부병 등의 피해를 입은 고구마는 사용하지 않음
- 냉해를 입은 고구마는 양끝이 갈색으로 썩은 것이 많고 잘라보면 광택이 없으며 유액이 적게나옴
- 8월에 햇고구마를 출하하는 경우 괴근비대가 빠른 주요품종으로 풍원미, 신자미 등이 있음
❍ 씨고구마로 전염되는 검은무늬병, 검은점박이병 등의 병 발생이 우려되므로 전용약제 분의소독 또는 47~48℃에 40분간 온탕소독 실시
❍ 묘상의 폭은 120~130㎝가 묘상관리 및 채묘작업에 용이하고 묘상과 묘상사이는 30cm가 적당함
❍ 씨고구마를 묻고 1차 채묘까지의 기간은 비닐하우스 안에서 전열온상은 30일, 양열온상은 40일 정도임",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,6,2023-03-06,2023-03-12,종자 공급 및 사전준비,"보리,팥","❍ 봄 파종 보리․밀, 콩․팥 정부보급종 종자 신청
- 보급종은 품종 특성을 미리 알아보고 해당 지역에 공급되는 품종을 기간 내에 시군농업기술센터, 읍․면 농업인상담소(읍․면동 농업인상담소가 없을 경우 읍․면사무소)에 희망 품종과 물량을 신청
❍ 지역 특성을 고려하여 재배방법에 따라 우량종자를 준비토록 하며 농약 및 전용비료 등 각종 농자재는 미리 준비함
❍ 콩․팥 정부보급종 종자 신청(국립종자원 홈페이지 공지)
- 일반신청 추진일정
- 공급계획 품종",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,7,2023-03-06,2023-03-12,마늘 ․ 양파,"마늘,양파","❍ 얼었던 땅이 풀리면 웃거름을 주도록 하고 생육 상태에 따라 비료량을 조절하여 너무 많은 양을 주지 않도록 주의
- 고형비료를 직접 살포해 주는 대신 물에 녹여 물비료를 만들어  주면 비료의 손실도 방제되고 효과가 증진됨
❍ 잡초의 발생이 많으면 양파 수량에 영향을 미치므로 조기에 제초 해 주도록 하고 작업 시에는 뿌리나 잎이 손상되지 않도록 함
❍ 한지형마늘은 잎(싹)이 10〜15cm 정도일 때 유인하는 것이 가장 효과적임
❍ 연약하게 자란 포장이나 물빠짐이 불량한 곳에서 노균병이 발생할 수 있으므로 적용약제를 살포하여 피해를 사전에 예방
❍ 흑색썩음균핵병은 아랫잎부터 황갈색으로 변하며 구근에 흰 균사가 발생하여 껍질이 검게 변하면서 물러 썩는 병으로 지상부 전체가 시들어 노랗게 마름
- 습한 토양에서 피해가 크므로 물빠짐(배수) 관리와 함께 초기에 적용 약제로 방제함",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,8,2023-03-06,2023-03-12,고추,고추,"❍ 육묘 중기는 본잎이 2～3매 정도 나와 묘가 왕성하게 발육하는 단계로 균형적인 생육을 하도록 하기 위해 광합성을 촉진하고 양분전류가 합리적으로 일어나도록 관리해야 함
- 햇빛이 부족하게 되면 과실이 달리는 마디 부위가 상승하고 꽃수가 감소하며 꽃의 소질이 떨어지므로 육묘기간 중 햇빛을 충분하게 받도록 해 주어야 함
- 보온 위주로 관리하면 고온장해가 발생하기 쉬우므로 환기관리 중요
❍ 저온기에는 물을 조금씩 자주 주는 것보다 한번에 뿌리 밑까지 젖도록 주어야 온상 내의 온도가 내려가는 것을 방지할 수 있음
❍ 육묘 중 저온피해를 받았을 경우 응급처치로 요소 0.3%(물 20ℓ당 요소 60g) 액을 잎에 뿌려주어 생육을 회복시킴",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,9,2023-03-06,2023-03-12,딸기,딸기,"❍ 주간온도는 25℃ 내외, 야간온도는 5~6℃ 정도로 관리
❍ 낮 동안에 고온이 되면 과실이 물러질 수 있으므로 환기에 주의
❍ 2월 이후 온도가 높아지면 신맛이 증가하므로 충분한 영양관리와 적절한 환기 필요
❍ (흰가루병) 15∼28℃에서 많이 발생하고 32°C 이상의 고온에서는 발생 억제, 흰가루 포자형성
- 일조부족, 밤낮의 기온차가 클 때 발생 높음, 예방적 방제, 환기, 관수에 주의
❍ (응애) 잎이 누렇게 변하여 말라죽게 되고 생육을 억제
- 세대 기간이 짧아 연간 발생 횟수가 많고 증식률이 높음, 적용 약제를 이용하여 발생 초기에 방제",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,10,2023-03-06,2023-03-12,좋은 묘목 선택요령,,"❍ 품종이 정확하여야 함
❍ 대목은 자근으로 잔뿌리가 많고 심을 토양에 알맞아야 함
❍ 병해충(바이러스)이 없어야 함
❍ 마디가 굵고 짧으며 충실한 잎눈이 붙어 있어야 함
❍ 재식 후 토양이 안정된 상태에서 대목을 15~20cm 정도 노출 시킬 수 있어야 함
❍ 접목부위 위쪽 10cm 위치의 줄기 직경이 11mm 이상이면 적합
❍ 접목부위에서 40cm 웟부분 부터 길이 30~60cm 측지가 10개 이상 발생된 묘목이면 좋음
❍ 측지는 분지 각도가 넓고 세력이 너무 강하지 않으며 공간적으로 골고루 위치하면 좋음
❍ 영년생 작물로서 품종이 정확하지 않으면 큰 피해를 받게 되므로 정확한 품종을 선택
❍ 뿌리의 절단면이 적고 발달이 좋고 생기가 있으며 나무껍질은 윤기가 있어야 함
❍ 가능한 한 뿌리가 많이 상하지 않게 잘 굴취한 묘목을 선택하여 포장이나 수송 시 잎눈이 상하지 않도록 주의
❍ 마디가 굵고 짧으며 충실한 잎눈이 잘 붙어 있는 묘목, 웃자란 묘목은 재식 후 가지 발생이 적고 겨울철 동해나 건조에 약하여 고사하는 일이 많음
❍ 병해충이 없어야 함
- 묘목에 발생하기 쉬운 병해충은 날개무늬병, 뿌리혹병, 검은별무늬병, 깍지벌레류 등이 있음
❍ 품종과 대목이 확실한 것
❍ 가지가 굵고 마디사이가 짧으며 충실하고 웃자라지 않은 것
❍ 뿌리가 많고 곧게 뻗은 것, 굵은 뿌리와 잔뿌리가 적당히 섞였으며 2단 또는 3단 뿌리가 아니고 최하부에서 뿌리가 발생한 것
❍ 건조되지 않고 병해충의 피해가 없는 것
❍ 접목묘는 접목부가 잘 접착하여 이상이 없는 것
❍ 동해 피해에 강한 품종, 즉 기상환경에 맞는 품종을 선택
❍ 뿌리혹병 등 병해충에 감염되지 않고 잔뿌리가 많이 살아있는 묘목
❍ 꽃가루가 없는 품종은 반드시 수분수 품종 식재
❍ 접목부 직경이 1.2cm 이상으로 굵으며 마디와 마디사이가 짧고 눈이 충실한 것
❍ 곧은 뿌리와 함께 곁뿌리와 잔뿌리가 많아야 하며 뿌리의 절단면은 변색되지 않은 싱싱한 상태의 것
❍ 일찍 캐내어 가식 기간이 길었거나 가식 횟수가 많은 묘목이나 특별한 포장 없이 먼 거리를 운반하는 묘목은 뿌리가 괴사하거나 활력이 낮아지기 쉬움
❍ 탄저병, 검은별무늬병, 뿌리혹병 등에 걸리지 않은 것",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
2023,10,11,2023-03-06,2023-03-12,묘목 심기,,"❍ 묘목은 낙엽이 진 후 땅이 얼기 전에 심는 가을심기와 이듬해 봄에 땅이 풀린 다음 심는 봄 심기가 있음
❍ 겨울이 춥고 건조한 지역에서는 가급적 봄에 심는 것이 언 피해 등을 줄일 수 있음
❍ 봄 심기는 뿌리가 활동하기 이전인 이른 봄에 토양이 해빙되면 즉시 심어야 하는데, 늦어도 3월 중·하순까지는 심어야 함
- 심는 시기가 늦어질수록 발아가 더디고 지상부 및 지하부 생육도 불량해짐
- 봄에 심을 경우는 뿌리가 흙과 잘 밀착되도록 하고 뿌리가 보이지 않을 정도로 흙을 덮고 물을 10~20ℓ준 다음 물이 흡수된 후 복토해야 생육이 좋아짐
❍ 심는 거리는 과종, 토양의 비옥도, 품종의 수세, 나무모양 및 전정방법에 따라 결정하는 것이 바람직함
- 토양이 비옥하고 수세가 강한 품종일수록 심는 거리를 넓히고 척박한 토양이나 수세가 약한 품종일 경우는 좁혀서 심음",10호_10호_주간농사정보 제10호 (2023.03.06.~03.12.).txt
