station_code,obs_date,temp_max,temp_min,rainfall_mm
108,2026-09-06,29.3,21.0,0.0
108,2026-09-07,30.1,21.8,0.0
108,2026-09-08,28.4,20.5,6.5
108,2026-09-09,26.2,19.1,21.0
108,2026-09-10,27.0,18.7,0.0
108,2026-09-11,28.8,19.9,0.0
108,2026-09-12,27.9,20.2,1.0
119,2026-09-06,29.8,20.1,0.0
119,2026-09-07,30.5,20.9,0.0
119,2026-09-08,28.9,19.8,4.0
119,2026-09-09,26.7,18.4,18.5
119,2026-09-10,27.6,17.9,0.0
119,2026-09-11,29.2,19.0,0.0
119,2026-09-12,28.3,19.6,0.5
133,2026-09-10,28.1,18.2,0.0
133,2026-09-11,29.6,19.4,0.0
133,2026-09-12,28.8,20.0,
