crop_name,cultivation_type,section,topic,body,source_file,source_loc
가지,,재배법,아주심기 준비,"토양소독 : 태양열·열수 등 물리적소독, 다조메입제 등 화학적 소독, 기타 / 이랑만들기 : 높이 30cm 이상(뿌리가 깊게 뻗으므로 배수가 잘되는 비옥한 토지에 재배) / 모기르기 / 씨뿌림 : 주간 28~30℃, 야간 18~20℃ / 접수 : 72공 이하 플러그 트레이 / 대목 : 접목방법, 대목종류에 따라 파종기 조절(32공 플러그 트레이) / 상토 : 시판상토 또는 조제상토(토양 유래 병해충 방지 대책 필요) / 접목 : 할접, 합접 / 비료공급 : 질소 또는 양액비료를 물에 녹여 관주 / 병해충 방제 철저 : 응애, 온실가루이, 담배가루이, 총채벌레, 잎굴파리 등 / 아주심기 / 심는거리 / Y자형 2줄기재배 : 100×40cm / U자형 4줄기재배 : 180~200×70~80cm / 유인 : Y자형 2주지 기본(U자형 4주지, 1줄 아주심기 2주지, Y자형 3주지 등 변형 가능) / Y자형 2줄기재배 : 첫 번째 꽃 아래의 건실한 곁가지를 두 번째 주지로 유인 / U자형 4줄기재배 : 첫 번째 꽃 아래의 건실한 곁가지를 두 번째 주지로, 두 번째 꽃 아래 건실한 곁가지를 세 번째 주지로, 세 번째 꽃 아래 건실한 곁가지를 네 번째 주지로 유인 / 멀칭 : 고온기는 멀칭을 피하고 9월 중순 이후 지온이 낮은 시기 멀칭 / 아주심기 2~3일 전 토양습도가 -15~-20kPa 수준에 도달하도록 충분히 관수하고, 아주심기 후 활착한 뿌리를 깊이 뻗치게 하기 위해 10~15일 단수 / 착과 및 수확 / 세력에 따라 첫 번째 꽃 착과 유무 결정(세력이 약할 때는 두 번째 꽃부터 착과) / 주지에 개화된 꽃과 곁가지(주지 꽃 아래 가지)에 개화된 꽃 착과 / 착과제 처리 : 토마토톤액제 2~3일 간격으로 꽃에 직접 분무 / 저온기(11~2월) : 50배액 / 고온기(아주심기~10월, 4월 중순~수확 종료) : 120배액 / 중간기(10월, 3월~4월 중순) : 80배액 / 지베렐린 첨가(곡과, 세력저하 원인) 및 2회 처리(공동과 원인) 불가 / 고온기 개화 후 15~20일, 저온기 20~25일, 이때 과일무게는 보통 80~100g(큰 과일 수확은 세력 약화) / 양분ㆍ수분관리 / 양분관리 / 밑거름(kg/10a) : 질소 8.3, 인산 8.7, 칼리 4.1, 붕사 1.5, 완숙퇴비 1,000 / 웃거름 : 첫 수확 후 성분량으로 질소-칼리=2-2/kg/10a를 7일 간격으로 관비 / 밑거름을 하지 않고 관비재배를 할 때는 질소, 칼리 외 인산, 칼슘, 마그네슘도 같이 시용 / 수분관리 / 수분 장력계로 -15~-20kPa 수준으로 유지되게 토양수분 관리 / 건조는 비광택과, 과습은 습해 우려 및 뿌리 발육저하에 따른 수량 저하 / 식물체 세력진단 / 단화주화 : 암술머리가 수술선단보다 짧은 것을 말하며 식물체 세력이 약할 때 발생(착과량 과다, 광합성량 부족, 야간고온 등) / 단화주화는 착과 되지 않고 낙화되거나 가는 과실로 상품성이 떨어짐 / 생장점 세력약화 : 생장점과 개화된 꽃과의 거리가 15~20cm 정도가 정상 이지만 10cm 이하로 짧을 경우 세력 약함 / 환경관리 / 저온기 온도관리 / 야간 : 일몰~20시(18℃), 20시~06시(16℃), 06시~일출(18℃) / 주간 : 오전(28~30℃), 오후(24~25℃) / 야간 저온다습 : 잿빛곰팡이병 발병 우려 / 광관리 : 광포화점은 4만 Lux로 비교적 낮지만 광에 대한 반응은 민감 (강우나 흐린 다음 날 수량 저하) / 곁가지 착과 / 주지 순자르기 후 모든 마디에서 발생되는 곁가지 1본 착과하고 꽃 위 1엽 남기고 순자르기 / 곁가지 발생량이 많을 때는 건실한 곁가지 1본를 남기고 제거 / 노화엽에 의한 곁가지 발생이 억제될 때는 적엽에 의한 광 확보 / 곁가지 착과는 광량 확보가 중요하므로 Y자(또는 U자) 유인 시 주지 간격를 충분하게 확보",dtl_30770.xml,절0
갓,,재배법,씨뿌림,"시기 / 봄 : 4월 / 가을 : 8월 하순~9월 상순 / 솎음 : 본잎 1~2매일 때 시작, 6~7매일 때 종료, 노동력 유무에 따라 2~3회 실시 / 김매기 : 씨뿌림 직후 제초제 사용 / 씨앗양 : 5~6dL/10a / 관 리 / 바닥덮기(멀칭) : 유공필름, 왕겨, 짚 등 / 물주기 : 씨뿌림 직후 및 가물 때 / 씨뿌림 : 이랑 너비 120cm, 30cm 간격으로 4줄 줄뿌림, 포기 사이 10cm 내외 / 붕소 결핍 시 붕사 0.2% 엽면 비료 주기 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 퇴비 / 2,000 / - / 질소 / 17.0 / 12.0 / 5.0 / 인산 / 8.0 / 칼리 / 붕사 / 1.0",dtl_30595.xml,절0
결구상추,,재배법,씨뿌림,"시기 : 5월 중순~7월 상순 / 씨앗양 : 40~60㎖/10a / 봄, 가을에도 씨뿌림 가능(평난지) / 모 기르기 / 온도관리 : 15~23℃ / 물주기 : 오전 중 20℃의 물주기 / 기 간 : 본잎 3~4매(씨뿌림 후 20~30일) / 아주심기 / 시기 : 5월 상순~8월 상순 / 거리 : 이랑너비 80cm(1줄),120cm(2줄), 포기사이 30~35cm / 비닐덮기 : 두께 0.02~0.03mm / 관 리 / 이상결구 및 꽃대신장 방지 / 가물 때 물주기 / 김매기 : 제초제 사용 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 3회 / 질소 / 8.2 / 5.0 / 1.2 / 1 / 인산 / 6.5 / - / 칼리 / 7.2 / 4.3 / 0.9 / 퇴비 / 1,500 / 석회 / 200 / 비료주는시기 / 아주심기 14일전 / 본엽6~7매 / 본엽 10매 / 결구 개시기",dtl_30596.xml,절0
고들빼기,,재배법,씨뿌림,"시기 : 7월 하순~8월 중순 / 씨뿌림 후 덮기(10일) / 씨앗 크기의 2~3배 흙덮기 / 씨앗양 : 2~3ℓ/10a / 아주심기 거리 : 이랑 너비 120cm / 관 수 / 물주기 : 씨뿌림 후 2~3회 실시 / 덮개물 제거 / 김매기 / 수 확 / 잎길이가 15~25cm일 때 / 가을재배 : 10~11월, 3월 / 하우스 및 터널재배 시 12~2월 수확 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 2,000 / - / 질소 / 16 / 6 / 5 / 인산 / 25 / 칼리 / 석회 / 150 / 웃거름 시기 : 발아 후 30일 / 이듬해 봄 수확 시 : 2월 상순경",dtl_30597.xml,절0
고사리,,재배법,아주심기,"포트묘 : 4~5월 / 씨뿌리(종근) : 9월 하순~10월 상순 / 씨뿌리 아주심기 : 25주/㎡ / 포트묘 : 4주/㎡ / 심는 거리 / 씨뿌리 20x20cm / 포트묘 40x40cm / 관 리 / 아주심기 후 김매기 철저 / 수확 중기 웃거름 관리 / 가물 때 물관리 철저 / 장마철 배수관리 철저 / 수 확 / 잎줄기가 10~15cm자랐을 때 / 주먹 모양의 어린잎이 퍼지기 전에 지표면에서 절단 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 3회 / 퇴비 / 2,000 / - / 질소 / 19.0 / 10.2 / 2.8 / 3.2 / 인산 / 11.2 / 칼리 / 15.0 / 9.0 / 1.8 / 2.4 / 석회 / 150",dtl_30598.xml,절0
고추,꽈리고추 반촉성,재배법,씨뿌림 준비,"육묘상 하우스 설치 / 상토준비 / 파종상 설치 : 6.6㎡/10a / 씨앗과 포트 준비 / 씨뿌림 / 시기 : 10월 중하순 / 늦여름 씨뿌림 : 8월 하순~9월 상순 / 종자 파종량 : 80㎖/10a / 싹틔우기 : 1~2mm / 거리 : 골 사이 8cm, 종자사이 1cm / 묘판 관리 / 온도관리 : 낮 22~30℃ / 밤 15℃ 이상 / 생육 단계별 변온관리, 밤 보온관리 유의 / 물주기 : 20℃ 정도의 물을 오전에 충분히 주기 / 진딧물, 모잘록병 방제 / 생육상태에 따른 액비 시용 / 모 기르기 기간 : 80~90일 / 공정 모 기르기는 60~70일 / 가급적 포트 모 기르기 실시 / 아주심기 준비 / 볏짚, 석회 시용 : 아주심기 1개월 전 / 하우스 설치 : 11월 중순 / 밑거름 시용 : 아주심기 2~3주 전 / 이랑짓기, 비닐덮기(멀칭) : 아주심기 1주 전 / 1조식 : 90cm, 2조식 : 180cm / 가온 지온상승 : 아주심기 1~2일 전 / 모 굳히기 : 아주심기 1주 전 / 아주심기 / 시기 : 11월 하순~12월 / 적정묘 : 본잎 12~13매 / 심는 밀도 / 1줄 심기 : 70~80cm×35~40cm / 2줄 심기 : 140cm×35cm / 10a당 비료주기 기준 총량 / 퇴비 : 3,000 kg / 요소 : 32 kg / 용성인비 : 26 kg / 염화칼리 : 30 kg / 재배적 특성 / 구 분 / 시 기 / 사용량(kg) / 1차 / 아주심기 후 30일경 / 요소 7 / 2차 / 1차 후 30~35일경 / 요소 8 / 3차 / 2차 후 35~40일경 / 요소 9, 염칼 7 / 4차 / 3차 후 40~45일경 / 요소 9, 염칼 10 / 병해충 방제 / 적정 시기에 예방 위주의 적용 액제 살포",dtl_30599.xml,절0
고추,보통재배,재배법,씨뿌림,"시 기 : 남부 2월 초순~2월 중순, 중부 2월 중순~2월 하순 / 씨앗량 : 1㎗/10a / 모 기르기 / 온도관리 : 낮 22~30℃, 밤 15℃ 이상 / 모 기르기 일수 : 70~80일 / 물주기 : 오전 중에 20℃ 정도의 물주기 / 아주심기 / 시 기 : 남부 4월 하순~5월 상순, 중부 5월 상순~ 5월 중순 / 거 리 / 1줄재배 : 100cm×35~40cm / 2줄재배 : 150cm×35~40cm / 비닐덮기 : 0.02~0.03mm 비닐 / 관 리 / 지주 세우기 / 가물 때 물주기 / 김매기 : 제초제 살포 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 3회 / 퇴비 / 2,000 / - / 질소 / 19.0 / 10.2 / 2.8 / 3.2 / 인산 / 11.2 / 칼리 / 15.0 / 9.0 / 1.8 / 2.4 / 석회 / 150",dtl_30600.xml,절0
고추,촉성재배,재배법,씨뿌림 준비,"육묘상 하우스 설치 / 상토준비 / 파종상 설치 : 6.6㎡/10a / 씨앗과 포트 준비 / 씨뿌림 / 시기 : 10월 중하순 / 늦여름 씨뿌림 : 8월 하순~9월 상순 / 파종량 : 1㎗/10a / 싹틔우기 : 1~2mm / 씨뿌림 거리 : 골 사이 8cm, 씨앗 1cm / 묘판 관리 / 온도관리 / 낮 : 22~30℃ / 밤 : 15℃ 이상 / 생육단계별 변온관리, 밤 보온관리 유의 / 물주기 : 20℃ 정도의 물을 오전에 충분히 줌 / 진딧물, 모잘록병 방제 / 생육상태에 따른 액비 시용 / 모 기르기 기간 : 70~80일 / 공정 모 기르기는 60~70일 / 가급적 포트 모 기르기 실시 / 아주심기 준비 / 볏짚, 석회 시용 : 아주심기 1개월 전 / 하우스 설치 : 11월 중순 / 밑거름 시용 : 아주심기 2~3주 전 / 이랑짓기, 비닐덮기 : 아주심기 1주 전 / 1조식 : 90cm, 2조식 : 180cm / 가온 실시 지온상승 : 이주심기 1~2일 전 / 모 굳히기 : 아주심기 1주 전 / 아주심기 / 시기 : 11월 하순~12월 / 적정묘 : 본잎 12~13매 / 심는 밀도 / 1줄심기 : 80~100cm×35~40cm / 2줄심기 : 150cm×40cm / 수확 기간 출하 목표 시기에 따라 조절 / 10a당 비료주기 기준 총량 / 퇴비 : 3,000 kg / 질소 : 32 kg / 인산 : 26 kg / 칼리 : 30 kg / 재배적 특성 / 구 분 / 시 기 / 사용량(kg) / 1차 / 아주심기 후 30일경 / 요소 7 / 2차 / 1차 후 30~35일경 / 요소 8 / 3차 / 2차 후 35~40일경 / 요소 9, 염칼 7 / 4차 / 3차 후 40~45일경 / 요소 9, 염칼 10 / 병해충 방제 / 적기 예방 위주의 적용 약제 살포",dtl_30601.xml,절0
곰취,,재배법,씨뿌림,"시기 ： 2~3월 / 지베렐린 10~30ppm에 30분간 담그기 / 파종량 : 3~4ℓ/10a / 아주심기 거리 : 이랑 너비 100cm, 포기 사이 20cm / 관리 / 모 기르기 : 파종상자나 105공 플러그판 / 빛가림 : 30~50% / 물주기 : 주기적인 물주기 / 웃거름 : 질소와 칼리 5kg씩 / 수 확 / 제때 수확 / 노화잎과 여름잎은 유지 / 데친 다음 -20℃에 급속 냉동 보관 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 4,000 / - / 질소 / 30 / 20 / 5 / 인산 / 60 / 칼리 / 150",dtl_30602.xml,절0
근대,,재배법,씨뿌림,"시기 ： 봄재배 3~4월, 여름재배 5~6월, 가을재배 9~10월 / 씨앗양 : 7.2∼15ℓ/10a / 거리 : 이랑 너비 1~1.2m, 포기 사이 12~30cm / 관 리 / 솎음 : 발아 후 2~3회 실시 / 김매기 : 제초제 사용 / 물주기 : 가물 때 물주기 / 제4종 복비 사용 / 수 확 / 쌈용으로 수확할 경우 잎의 크기가 손바닥만 할 때 수확 / 봄, 여름의 수확은 저녁 때 하여 시듦 방지 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 1,000 / - / 질소 / 15 / 7~8 / 3~4 / 인산 / 11 / 칼리 / 5~6 / 2~3 / 석회 / 100",dtl_30603.xml,절0
