crop_name,maturity_type,gdd_target,days_to_harvest,sow_method,sow_from,sow_to
가지,MID,2149,232,씨뿌림,02-11,02-28
감귤,EARLY,,,,,
감귤,LATE,,,,,
감자,EARLY,988,95,파종,03-01,03-31
감자,MID,1110,106,파종,03-01,03-31
감자,LATE,1234,117,파종,03-01,03-31
갓,MID,1043,82,씨뿌림,04-05,05-05
강낭콩,MID,420,88,씨뿌림,03-01,03-20
거베라,MID,,98,아주심기,04-11,05-31
결구상추,MID,1619,170,씨뿌림,01-01,02-28
고구마,EARLY,2009,125,아주심기,04-01,04-20
고구마,MID,2154,139,아주심기,04-01,04-20
고구마,LATE,2263,153,아주심기,04-01,04-20
고들빼기,MID,887,67,씨뿌림,04-11,04-20
고사리,MID,799,145,,,
고추,MID,1305,132,아주심기,03-21,04-20
곰취,MID,763,83,씨뿌림,03-15,03-25
구기자,MID,,144,,,
국화,EARLY,,165,,,
국화,MID,,165,,,
국화,LATE,,165,,,
근대,MID,1303,118,씨뿌림,03-01,04-30
글라디올러스,EARLY,,134,,,
글라디올러스,MID,,134,,,
글라디올러스,LATE,,134,,,
금어초,MID,,279,씨뿌림,08-15,08-15
꽃도라지,EARLY,,191,씨뿌림,03-01,03-10
꽃도라지,MID,,191,씨뿌림,03-01,03-10
꽃도라지,LATE,,191,씨뿌림,03-01,03-10
꽃해바라기,MID,,98,씨뿌림,04-01,04-10
꿀벌,MID,,,,,
냉이,MID,961,222,씨뿌림,09-01,09-10
녹두,MID,2277,155,파종,05-15,06-05
느타리버섯,MID,,124,,,
단감,EARLY,,217,,03-25,04-25
단감,MID,,217,,03-25,04-25
단감,LATE,,217,,03-25,04-25
담근먹이 옥수수,MID,1866,144,,,
당근,MID,1268,113,씨뿌림,03-05,03-25
더덕,MID,,238,씨뿌림,03-25,04-15
덴드로비움,MID,,268,,11-05,05-25
도라지,MID,,248,씨뿌림,03-15,04-15
두릅,MID,461,72,씨뿌림,03-05,04-25
두충,MID,,238,씨뿌림,03-15,04-05
들깨,EARLY,1803,90,씨뿌림,06-11,06-30
들깨,MID,1966,100,씨뿌림,06-11,06-30
들깨,LATE,2109,110,씨뿌림,06-11,06-30
딸기,MID,708,71,아주심기,04-11,05-10
땅콩,EARLY,1978,163,씨뿌림,04-11,04-30
땅콩,MID,2123,181,씨뿌림,04-11,04-30
땅콩,LATE,2212,199,씨뿌림,04-11,04-30
마,MID,,,,,
마늘,MID,1961,242,씨뿌림,09-21,10-31
매실,MID,2110,237,,,
메밀,EARLY,1432,79,씨뿌림,04-21,05-10
메밀,LATE,1713,97,씨뿌림,04-21,05-10
멜론,MID,,,,,
무,MID,950,61,씨뿌림,03-11,04-30
무화과,MID,,186,,04-25,05-05
미나리,MID,567,108,씨뿌림,03-01,03-10
밀,EARLY,1160,216,씨뿌림,10-01,10-10
밀,MID,1514,240,씨뿌림,10-01,10-10
밀,LATE,1954,264,씨뿌림,10-01,10-10
방울토마토,MID,692,41,아주심기,05-01,05-31
배,EARLY,2408,149,,03-25,04-05
배,MID,2756,166,,03-25,04-05
배,LATE,3056,183,,03-25,04-05
배추,EARLY,660,45,아주심기,04-01,05-20
배추,MID,742,50,아주심기,04-01,05-20
배추,LATE,823,55,아주심기,04-01,05-20
벼,EARLY,1521,150,모기르기,04-11,05-20
벼,MID,1660,167,모기르기,04-11,05-20
벼,LATE,1749,184,모기르기,04-11,05-20
보리,EARLY,910,212,씨뿌림,10-01,10-10
보리,MID,1234,235,씨뿌림,10-01,10-10
보리,LATE,1640,258,씨뿌림,10-01,10-10
복숭아,EARLY,1234,102,,04-05,04-05
복숭아,MID,1445,113,,04-05,04-05
복숭아,LATE,1668,124,,04-05,04-05
부추,MID,3299,223,씨뿌림,03-21,04-20
브로콜리,MID,2353,150,씨뿌림,04-01,05-20
블루베리,MID,1381,114,,03-25,05-05
비트,MID,1830,150,씨뿌림,03-01,05-31
사과,EARLY,2022,140,,03-15,04-05
사과,MID,2367,155,,03-15,04-05
사과,LATE,2686,170,,03-15,04-05
사료용 귀리,MID,930,85,씨뿌림,02-21,03-20
사료용 벼(총체벼),MID,1724,166,육묘,04-25,05-25
사료용 보리(청보리),MID,1015,227,파종,10-15,10-25
사료용 호밀,MID,747,196,파종,10-15,10-25
사료용벼,MID,1724,166,파종,04-25,05-25
사슴,MID,,,,,
산호수,MID,,,,,
살구,MID,1130,186,,,
상추,MID,573,31,아주심기,08-11,08-31
생강,MID,1220,202,아주심기,04-21,05-10
선인장,MID,,,,,
셀러리,MID,1236,170,씨뿌림,12-01,02-28
수국,MID,,237,,,
수박,EARLY,950,91,아주심기,04-11,05-20
수박,MID,1116,101,아주심기,04-11,05-20
수박,LATE,1296,111,아주심기,04-11,05-20
수수,EARLY,2208,148,파종,05-15,05-25
수수,MID,2325,165,파종,05-15,05-25
"수수,수단그라스 교잡종",MID,1232,93,파종,04-25,04-25
스타티스,MID,,134,,,
시금치,MID,977,117,씨뿌림,09-11,11-30
시클라멘,MID,,186,씨뿌림,11-05,11-15
신선초,MID,1186,118,씨뿌림,03-01,04-30
심비디움,EARLY,,,,,
심비디움,MID,,,,,
심비디움,LATE,,,,,
쑥갓,MID,1072,119,씨뿌림,02-01,03-31
아스파라거스,MID,2962,227,씨뿌림,05-15,05-25
아욱,MID,606,139,씨뿌림,02-01,04-30
아이리스,MID,,134,,,
안개초,MID,,51,,,
양배추,MID,2190,144,씨뿌림,07-05,07-25
양송이,MID,,145,,,
양파,EARLY,953,155,아주심기,10-11,11-20
양파,MID,1085,172,아주심기,10-11,11-20
양파,LATE,1266,189,아주심기,10-11,11-20
연근,MID,896,129,아주심기,04-11,05-20
영지버섯,MID,,248,,,
오리엔탈나리(촉성재배),MID,,,,,
오미자,MID,,,,,
오이,MID,1327,181,씨뿌림,02-01,03-20
옥수수,EARLY,969,95,씨뿌림,04-11,04-20
옥수수,MID,1148,106,씨뿌림,04-11,04-20
옥수수,LATE,1331,117,씨뿌림,04-11,04-20
온시디움,MID,,227,,,
완두,MID,991,155,,01-05,01-15
유자,MID,,,,,
유채,EARLY,1256,237,씨뿌림,10-01,10-20
유채,MID,1593,263,씨뿌림,10-01,10-20
유채,LATE,1969,289,씨뿌림,10-01,10-20
이탈리안라이그라스,MID,2241,268,파종,09-05,09-25
자두,EARLY,,,,,
자두,MID,,,,,
장미,MID,,,,,
적채,MID,1885,180,씨뿌림,01-01,03-31
조,EARLY,1686,121,파종,06-05,06-05
조,MID,1770,134,파종,06-05,06-05
조,LATE,1818,147,파종,06-05,06-05
쪽파,MID,1458,103,씨뿌림,08-05,09-15
참깨,EARLY,1434,116,씨뿌림,05-01,05-31
참깨,MID,1580,129,씨뿌림,05-01,05-31
참깨,LATE,1702,142,씨뿌림,05-01,05-31
참다래,MID,2468,170,인공수분,05-11,05-20
참외,MID,1499,171,씨뿌림,02-21,03-10
참취,MID,432,52,모 기르기,03-25,04-15
천마,MID,,,,,
철쭉,MID,,206,,,
청경채,MID,1315,83,씨뿌림,04-25,05-05
체리,MID,297,31,,04-05,04-05
초지,MID,,,,,
치커리,MID,807,144,씨뿌림,01-05,02-05
카네이션,MID,,175,,,
칼라,EARLY,,109,아주심기,04-21,05-10
칼라,MID,,109,아주심기,04-21,05-10
칼라,LATE,,109,아주심기,04-21,05-10
칼랑코에,MID,,165,,,
컬리플라워(백색꽃양배추 고랭지재배),MID,2585,150,씨뿌림,04-01,05-20
콩,EARLY,1785,122,씨뿌림,05-21,06-10
콩,MID,1908,135,씨뿌림,05-21,06-10
콩,LATE,1993,148,씨뿌림,05-21,06-10
콩(논재배),MID,1871,165,파종,06-05,06-15
토란,MID,1207,192,아주심기,04-21,05-20
튤립,MID,,41,,,
트리티케일,MID,1169,227,파종,10-15,10-25
파,MID,1439,114,씨뿌림,03-25,04-05
파드득나물,MID,2941,196,씨뿌림,03-15,03-25
파슬리(향미나리),MID,3151,186,씨뿌림,04-25,07-15
파프리카,MID,729,139,씨뿌림,02-11,03-31
팔레놉시스,MID,,,,,
팥,EARLY,1928,121,파종,06-05,06-25
팥,MID,2038,134,파종,06-05,06-25
팥,LATE,2116,147,파종,06-05,06-25
포도,EARLY,1655,130,,04-25,05-15
포도,MID,1846,145,,04-25,05-15
