name,base_temp,upper_temp,difficulty
가지,10.0,35.0,보통
감귤,,,보통
감자,5.0,30.0,보통
갓,5.0,,쉬움
강낭콩,10.0,32.0,쉬움
거베라,,,
결구상추,4.0,28.0,쉬움
고구마,8.0,34.0,쉬움
고들빼기,5.0,,쉬움
고사리,5.0,,쉬움
고추,10.0,35.0,어려움
곰취,5.0,,쉬움
구기자,,,
국화,,,
근대,4.0,30.0,쉬움
글라디올러스,,,
금어초,,,
꽃도라지,,,
꽃해바라기,,,
꿀벌,,,
냉이,5.0,,쉬움
녹두,8.0,38.0,쉬움
느타리버섯,,,
단감,,,보통
담근먹이 옥수수,10.0,30.0,쉬움
당근,4.0,28.0,보통
더덕,,,쉬움
덴드로비움,,,
도라지,,,쉬움
두릅,5.0,,쉬움
두충,,,
들깨,5.0,,쉬움
딸기,3.0,30.0,어려움
땅콩,10.0,35.0,쉬움
마,,,쉬움
마늘,4.0,25.0,보통
매실,7.0,,보통
메밀,5.0,,쉬움
멜론,10.0,35.0,보통
무,4.0,25.0,쉬움
무화과,,,보통
미나리,10.0,,쉬움
밀,4.0,31.0,쉬움
방울토마토,8.0,30.0,어려움
배,4.0,31.0,보통
배추,5.0,25.0,보통
벼,12.0,40.0,어려움
보리,4.0,,쉬움
복숭아,7.0,35.0,어려움
부추,5.0,,쉬움
브로콜리,5.0,27.0,쉬움
블루베리,6.0,,보통
비트,4.0,30.0,쉬움
사과,4.0,31.0,보통
사료용 귀리,0.0,,쉬움
사료용 벼(총체벼),12.0,40.0,쉬움
사료용 보리(청보리),4.0,,쉬움
사료용 호밀,4.0,35.0,쉬움
사료용벼,12.0,40.0,쉬움
사슴,,,
산호수,,,
살구,7.0,,보통
상추,4.0,25.0,보통
생강,15.0,,쉬움
선인장,,,
셀러리,4.0,25.0,쉬움
수국,,,
수박,10.0,35.0,어려움
수수,8.0,30.0,쉬움
"수수,수단그라스 교잡종",8.0,30.0,쉬움
스타티스,,,
시금치,4.0,25.0,쉬움
시클라멘,,,
신선초,5.0,,쉬움
심비디움,,,
쑥갓,5.0,25.0,쉬움
아스파라거스,5.0,,쉬움
아욱,10.0,,쉬움
아이리스,,,
안개초,,,
양배추,4.0,27.0,쉬움
양송이,,,
양파,2.0,25.0,보통
연근,15.0,,쉬움
영지버섯,,,
오리엔탈나리(촉성재배),,,
오미자,,,
오이,10.0,35.0,어려움
옥수수,10.0,30.0,쉬움
온시디움,,,
완두,4.0,27.0,쉬움
유자,,,보통
유채,0.0,30.0,쉬움
이탈리안라이그라스,1.0,,쉬움
자두,5.0,25.0,보통
장미,,,
적채,4.0,27.0,쉬움
조,10.0,,쉬움
쪽파,5.0,,쉬움
참깨,10.0,40.0,쉬움
참다래,8.0,,보통
참외,10.0,35.0,어려움
참취,5.0,,쉬움
천마,,,쉬움
철쭉,,,
청경채,4.0,25.0,쉬움
체리,4.0,25.0,보통
초지,4.0,,쉬움
치커리,4.0,28.0,쉬움
카네이션,,,
칼라,,,
칼랑코에,,,
컬리플라워(백색꽃양배추 고랭지재배),4.0,30.0,쉬움
콩,10.0,30.0,쉬움
콩(논재배),10.0,30.0,쉬움
토란,15.0,,쉬움
튤립,,,
트리티케일,4.0,35.0,쉬움
파,5.0,25.0,쉬움
파드득나물,5.0,,쉬움
파슬리(향미나리),4.0,27.0,쉬움
파프리카,10.0,,어려움
팔레놉시스,,,
팥,8.0,38.0,쉬움
포도,10.0,36.0,보통
포인세티아,,,
풋콩,10.0,30.0,쉬움
프리지아,,,
플럼코트,7.0,,보통
피망,10.0,,보통
한라봉(부지화),,,보통
호박,9.0,35.0,쉬움
황기,,,
