station_code,name,latitude,longitude
42,군산오식도,35.93681,126.59737
43,솔라시도,34.71083,126.41163
44,삼호,34.74476,126.4122
45,하이,34.91889,128.11806
90,속초,38.25085,128.56473
92,양양(공),38.05903,128.66298
93,북춘천,37.94738,127.75443
95,철원,38.14787,127.3042
98,동두천,37.90188,127.0607
99,파주,37.88589,126.76648
101,춘천,37.90262,127.7357
102,백령도,37.97396,124.71237
104,북강릉,37.80456,128.85535
105,강릉,37.75147,128.89099
106,동해,37.50709,129.12433
108,서울,37.57142,126.9658
110,김포(공),37.55891,126.79451
112,인천,37.47772,126.6249
113,인천(공),37.4625,126.44087
114,원주,37.33749,127.94659
115,울릉도,37.48129,130.89863
119,수원,37.25746,126.983
121,영월,37.18126,128.45743
127,충주,36.97045,127.9525
128,청주(공),36.71667,127.5
129,서산,36.77658,126.4939
130,울진,36.99176,129.41278
131,청주,36.63924,127.44066
133,대전,36.37199,127.3721
135,추풍령,36.22025,127.99458
136,안동,36.57293,128.70733
137,상주,36.40837,128.15741
138,포항,36.03201,129.38002
140,군산,36.0053,126.76135
143,대구,35.87797,128.65296
146,전주,35.84092,127.11718
151,울산(공),35.59333,129.35222
152,울산,35.58237,129.33469
155,창원,35.17019,128.57282
156,광주,35.17294,126.89156
159,부산,35.10468,129.03203
162,통영,34.84541,128.43561
163,무안(공),34.99139,126.38306
165,목포,34.81732,126.38151
167,여수(공),34.84667,127.6125
168,여수,34.73929,127.74063
169,흑산도,34.68719,125.45105
170,완도,34.3959,126.70182
172,고창,35.34824,126.599
174,순천,35.0204,127.3694
177,홍성,36.65759,126.68772
181,서청주,36.63994,127.38458
182,제주(공),33.51667,126.5
184,제주,33.51411,126.52969
185,고산,33.29382,126.16283
188,성산,33.38677,126.8802
189,서귀포,33.24616,126.5653
192,진주,35.16378,128.04004
201,강화,37.70739,126.44634
202,양평,37.48863,127.49446
203,이천,37.26399,127.48421
211,인제,38.05991,128.16811
212,홍천,37.6836,127.88043
216,태백,37.17038,128.98929
217,정선군,37.38071,128.67312
221,제천,37.15928,128.19433
226,보은,36.48761,127.73415
230,덕적북리,37.2645,126.10297
232,천안,36.76217,127.29282
235,보령,36.32724,126.55744
236,부여,36.27242,126.92079
238,금산,36.10563,127.48175
239,세종,36.48522,127.24438
243,부안,35.72961,126.71657
244,임실,35.61203,127.28556
245,정읍,35.56333,126.83904
247,남원,35.4213,127.39652
248,장수,35.65696,127.52031
251,고창군,35.42346,126.69231
252,영광군,35.28366,126.47784
253,김해시,35.22981,128.89075
254,순창군,35.37131,127.1286
255,북창원,35.22655,128.6726
257,양산시,35.30737,129.02009
258,보성군,34.76335,127.21226
259,강진군,34.64457,126.78408
260,장흥,34.68886,126.91951
261,해남,34.55375,126.56907
262,고흥,34.61826,127.27572
263,의령군,35.32258,128.28812
264,함양군,35.51138,127.74538
266,광양시,34.9434,127.6914
268,진도군,34.47296,126.25846
271,봉화,36.94361,128.91449
272,영주,36.87183,128.51687
273,문경,36.62727,128.14879
276,청송군,36.4351,129.04005
277,영덕,36.53337,129.40926
278,의성,36.3561,128.68864
279,구미,36.13055,128.32055
281,영천,35.97742,128.9514
283,경주시,35.81747,129.20123
284,거창,35.66739,127.9099
285,합천,35.56505,128.16994
288,밀양,35.49147,128.74412
289,산청,35.413,127.8791
294,거제,34.88818,128.60459
295,남해,34.81662,127.92641
296,북부산,35.21778,128.96024
