stn,name,normal_stn,normal_name,km,rule,gdd_diff_pct,days
42,군산오식도,140,군산,16.6,similar,-1.7,261
43,솔라시도,165,목포,12.2,similar,1.0,261
44,삼호,261,해남,25.6,similar,1.9,261
45,하이,295,남해,20.9,similar,-3.0,259
92,양양(공),90,속초,23.0,similar,0.5,261
93,북춘천,101,춘천,5.2,similar,-1.7,261
104,북강릉,90,속초,55.8,similar,1.2,261
110,김포(공),119,수원,37.4,similar,0.8,261
113,인천(공),112,인천,16.3,similar,-4.2,261
128,청주(공),232,천안,19.1,similar,-0.5,261
142,대구(공),143,대구,1.6,close,,
151,울산(공),152,울산,2.0,close,,
153,김해(공),288,밀양,39.8,similar,-3.7,261
158,광주(공),254,순창군,39.7,similar,2.6,261
161,사천(공),192,진주,9.3,similar,1.7,261
163,무안(공),252,영광군,33.6,similar,2.6,261
167,여수(공),168,여수,16.7,similar,2.0,261
174,순천,244,임실,66.2,similar,-0.9,261
177,홍성,236,부여,47.6,similar,0.0,261
181,서청주,232,천안,15.9,similar,0.8,261
182,제주(공),184,제주,2.8,close,,
230,덕적북리,201,강화,57.8,similar,-4.1,261
239,세종,236,부여,37.4,similar,0.7,261
251,고창군,172,고창,11.9,similar,-0.2,258
255,북창원,257,양산시,32.8,similar,1.4,261
258,보성군,262,고흥,17.1,similar,0.6,261
266,광양시,168,여수,23.1,similar,2.6,261
296,북부산,155,창원,35.6,similar,-1.8,261
