sigungu_code,sigungu_name,station,station_name,method,normal_station
11010,종로구,108,서울,contains,108
11020,중구,108,서울,nearest,108
11030,용산구,108,서울,nearest,108
11040,성동구,108,서울,nearest,108
11050,광진구,108,서울,nearest,108
11060,동대문구,108,서울,nearest,108
11070,중랑구,108,서울,nearest,108
11080,성북구,108,서울,nearest,108
11090,강북구,108,서울,nearest,108
11100,도봉구,108,서울,nearest,108
11110,노원구,108,서울,nearest,108
11120,은평구,108,서울,nearest,108
11130,서대문구,108,서울,nearest,108
11140,마포구,108,서울,nearest,108
11150,양천구,110,김포(공),nearest,119
11160,강서구,110,김포(공),contains,119
11170,구로구,110,김포(공),nearest,119
11180,금천구,108,서울,nearest,108
11190,영등포구,108,서울,nearest,108
11200,동작구,108,서울,nearest,108
11210,관악구,108,서울,nearest,108
11220,서초구,108,서울,nearest,108
11230,강남구,108,서울,nearest,108
11240,송파구,108,서울,nearest,108
11250,강동구,108,서울,nearest,108
21010,중구,159,부산,contains,159
21020,서구,159,부산,nearest,159
21030,동구,159,부산,nearest,159
21040,영도구,159,부산,nearest,159
21050,부산진구,159,부산,nearest,159
21060,동래구,296,북부산,nearest,155
21070,남구,159,부산,nearest,159
21080,북구,296,북부산,nearest,155
21090,해운대구,159,부산,nearest,159
21100,사하구,159,부산,nearest,159
21110,금정구,257,양산시,nearest,257
21120,강서구,296,북부산,contains,155
21130,연제구,159,부산,nearest,159
21140,수영구,159,부산,nearest,159
21150,사상구,159,부산,nearest,159
21310,기장군,257,양산시,nearest,257
22010,중구,143,대구,nearest,143
22020,동구,143,대구,contains,143
22030,서구,143,대구,nearest,143
22040,남구,143,대구,nearest,143
22050,북구,143,대구,nearest,143
22060,수성구,143,대구,nearest,143
22070,달서구,143,대구,nearest,143
22310,달성군,143,대구,nearest,143
23010,중구,113,인천(공),contains,112
23020,동구,112,인천,nearest,112
23030,남구,112,인천,nearest,112
23040,연수구,112,인천,nearest,112
23050,남동구,112,인천,nearest,112
23060,부평구,112,인천,nearest,112
23070,계양구,110,김포(공),nearest,119
23080,서구,112,인천,nearest,112
23310,강화군,201,강화,contains,201
23320,옹진군,230,덕적북리,contains,201
24010,동구,156,광주,nearest,156
24020,서구,156,광주,nearest,156
24030,남구,156,광주,nearest,156
24040,북구,156,광주,contains,156
24050,광산구,156,광주,nearest,156
25010,동구,133,대전,nearest,133
25020,중구,133,대전,nearest,133
25030,서구,133,대전,nearest,133
25040,유성구,133,대전,contains,133
25050,대덕구,133,대전,nearest,133
26010,중구,152,울산,contains,152
26020,남구,152,울산,nearest,152
26030,동구,151,울산(공),nearest,152
26040,북구,151,울산(공),contains,152
26310,울주군,152,울산,nearest,152
29010,세종시,239,세종,contains,236
31011,수원시장안구,119,수원,nearest,119
31012,수원시권선구,119,수원,contains,119
31013,수원시팔달구,119,수원,nearest,119
31014,수원시영통구,119,수원,nearest,119
31021,성남시수정구,108,서울,nearest,108
31022,성남시중원구,108,서울,nearest,108
31023,성남시분당구,119,수원,nearest,119
31030,의정부시,98,동두천,nearest,98
31041,안양시만안구,119,수원,nearest,119
31042,안양시동안구,119,수원,nearest,119
31050,부천시,110,김포(공),nearest,119
31060,광명시,110,김포(공),nearest,119
31070,평택시,119,수원,nearest,119
31080,동두천시,98,동두천,contains,98
31091,안산시상록구,119,수원,nearest,119
31092,안산시단원구,112,인천,nearest,112
31101,고양시덕양구,108,서울,nearest,108
31103,고양시일산동구,110,김포(공),nearest,119
31104,고양시일산서구,110,김포(공),nearest,119
31110,과천시,108,서울,nearest,108
31120,구리시,108,서울,nearest,108
31130,남양주시,108,서울,nearest,108
31140,오산시,119,수원,nearest,119
31150,시흥시,112,인천,nearest,112
31160,군포시,119,수원,nearest,119
31170,의왕시,119,수원,nearest,119
31180,하남시,108,서울,nearest,108
31191,용인시처인구,203,이천,nearest,203
31192,용인시기흥구,119,수원,nearest,119
31193,용인시수지구,119,수원,nearest,119
31200,파주시,99,파주,contains,99
31210,이천시,203,이천,contains,203
31220,안성시,203,이천,nearest,203
31230,김포시,110,김포(공),nearest,119
31240,화성시,119,수원,nearest,119
31250,광주시,202,양평,nearest,202
31260,양주시,98,동두천,nearest,98
31270,포천시,98,동두천,nearest,98
31280,여주시,203,이천,nearest,203
31350,연천군,98,동두천,nearest,98
31370,가평군,101,춘천,nearest,101
31380,양평군,202,양평,contains,202
32010,춘천시,101,춘천,contains,101
32020,원주시,114,원주,contains,114
32030,강릉시,105,강릉,contains,105
32040,동해시,106,동해,contains,106
32050,태백시,216,태백,contains,216
32060,속초시,90,속초,nearest,90
32070,삼척시,216,태백,nearest,216
32310,홍천군,212,홍천,contains,212
32320,횡성군,114,원주,nearest,114
32330,영월군,121,영월,contains,121
32340,평창군,217,정선군,nearest,217
32350,정선군,217,정선군,contains,217
32360,철원군,95,철원,contains,95
32370,화천군,93,북춘천,nearest,101
32380,양구군,211,인제,nearest,211
32390,인제군,211,인제,contains,211
32400,고성군,90,속초,contains,90
32410,양양군,92,양양(공),contains,90
33020,충주시,127,충주,contains,127
33030,제천시,221,제천,contains,221
33041,청주시상당구,131,청주,nearest,131
33042,청주시서원구,131,청주,nearest,131
33043,청주시흥덕구,181,서청주,contains,232
33044,청주시청원구,128,청주(공),contains,232
33320,보은군,226,보은,contains,226
33330,옥천군,226,보은,nearest,226
33340,영동군,135,추풍령,contains,135
33350,진천군,128,청주(공),nearest,232
33360,괴산군,127,충주,nearest,127
33370,음성군,127,충주,nearest,127
33380,단양군,272,영주,nearest,272
33390,증평군,128,청주(공),nearest,232
34011,천안시동남구,232,천안,contains,232
34012,천안시서북구,232,천안,nearest,232
34020,공주시,239,세종,nearest,236
34030,보령시,235,보령,contains,235
34040,아산시,232,천안,nearest,232
34050,서산시,129,서산,contains,129
34060,논산시,236,부여,nearest,236
34070,계룡시,133,대전,nearest,133
34080,당진시,129,서산,nearest,129
34310,금산군,238,금산,contains,238
34330,부여군,236,부여,contains,236
34340,서천군,140,군산,nearest,140
34350,청양군,236,부여,nearest,236
34360,홍성군,177,홍성,contains,236
34370,예산군,177,홍성,nearest,236
34380,태안군,129,서산,nearest,129
35011,전주시완산구,146,전주,nearest,146
35012,전주시덕진구,146,전주,contains,146
35020,군산시,140,군산,contains,140
35030,익산시,140,군산,nearest,140
35040,정읍시,245,정읍,contains,245
35050,남원시,247,남원,contains,247
35060,김제시,146,전주,nearest,146
35310,완주군,146,전주,nearest,146
35320,진안군,248,장수,nearest,248
35330,무주군,238,금산,nearest,238
35340,장수군,248,장수,contains,248
35350,임실군,244,임실,contains,244
35360,순창군,254,순창군,contains,254
35370,고창군,251,고창군,contains,172
35380,부안군,243,부안,contains,243
36010,목포시,165,목포,contains,165
36020,여수시,168,여수,contains,168
36030,순천시,174,순천,contains,244
36040,나주시,156,광주,nearest,156
36060,광양시,266,광양시,contains,168
36310,담양군,254,순창군,nearest,254
36320,곡성군,254,순창군,nearest,254
36330,구례군,247,남원,nearest,247
36350,고흥군,262,고흥,contains,262
36360,보성군,258,보성군,contains,262
36370,화순군,156,광주,nearest,156
36380,장흥군,260,장흥,contains,260
36390,강진군,259,강진군,contains,259
36400,해남군,261,해남,contains,261
36410,영암군,44,삼호,contains,261
36420,무안군,163,무안(공),contains,252
36430,함평군,163,무안(공),nearest,252
36440,영광군,252,영광군,contains,252
36450,장성군,251,고창군,nearest,172
36460,완도군,170,완도,contains,170
