sigungu_code,sigungu_name,reg_id,method
11010,종로구,L1100000,sido-fallback
11020,중구,L1100000,sido-fallback
11030,용산구,L1100000,sido-fallback
11040,성동구,L1100000,sido-fallback
11050,광진구,L1100000,sido-fallback
11060,동대문구,L1100000,sido-fallback
11070,중랑구,L1100000,sido-fallback
11080,성북구,L1100000,sido-fallback
11090,강북구,L1100000,sido-fallback
11100,도봉구,L1100000,sido-fallback
11110,노원구,L1100000,sido-fallback
11120,은평구,L1100000,sido-fallback
11130,서대문구,L1100000,sido-fallback
11140,마포구,L1100000,sido-fallback
11150,양천구,L1100000,sido-fallback
11160,강서구,L1100000,sido-fallback
11170,구로구,L1100000,sido-fallback
11180,금천구,L1100000,sido-fallback
11190,영등포구,L1100000,sido-fallback
11200,동작구,L1100000,sido-fallback
11210,관악구,L1100000,sido-fallback
11220,서초구,L1100000,sido-fallback
11230,강남구,L1100000,sido-fallback
11240,송파구,L1100000,sido-fallback
11250,강동구,L1100000,sido-fallback
21010,중구,L1150000,sido-fallback
21020,서구,L1150000,sido-fallback
21030,동구,L1150000,sido-fallback
21040,영도구,L1150000,sido-fallback
21050,부산진구,L1150000,sido-fallback
21060,동래구,L1150000,sido-fallback
21070,남구,L1150000,sido-fallback
21080,북구,L1150000,sido-fallback
21090,해운대구,L1150000,sido-fallback
21100,사하구,L1150000,sido-fallback
21110,금정구,L1150000,sido-fallback
21120,강서구,L1150000,sido-fallback
21130,연제구,L1150000,sido-fallback
21140,수영구,L1150000,sido-fallback
21150,사상구,L1150000,sido-fallback
21310,기장군,L1150000,sido-fallback
22010,중구,L1140000,sido-fallback
22020,동구,L1140000,sido-fallback
22030,서구,L1140000,sido-fallback
22040,남구,L1140000,sido-fallback
22050,북구,L1140000,sido-fallback
22060,수성구,L1140000,sido-fallback
22070,달서구,L1140000,sido-fallback
22310,달성군,L1140200,exact
23010,중구,L1110100,sido-fallback
23020,동구,L1110100,sido-fallback
23030,남구,L1110100,sido-fallback
23040,연수구,L1110100,sido-fallback
23050,남동구,L1110100,sido-fallback
23060,부평구,L1110100,sido-fallback
23070,계양구,L1110100,sido-fallback
23080,서구,L1110100,sido-fallback
23310,강화군,L1010900,exact
23320,옹진군,L1013600,exact
24010,동구,L1130100,sido-fallback
24020,서구,L1130100,sido-fallback
24030,남구,L1130100,sido-fallback
24040,북구,L1130100,sido-fallback
24050,광산구,L1130100,sido-fallback
25010,동구,L1120000,sido-fallback
25020,중구,L1120000,sido-fallback
25030,서구,L1120000,sido-fallback
25040,유성구,L1120000,sido-fallback
25050,대덕구,L1120000,sido-fallback
26010,중구,L1160000,sido-fallback
26020,남구,L1160000,sido-fallback
26030,동구,L1160000,sido-fallback
26040,북구,L1160000,sido-fallback
26310,울주군,L1160000,sido-fallback
29010,세종시,L1170100,sido-fallback
31011,수원시장안구,L1010000,sido-fallback
31012,수원시권선구,L1010000,sido-fallback
31013,수원시팔달구,L1010000,sido-fallback
31014,수원시영통구,L1010000,sido-fallback
31021,성남시수정구,L1010000,sido-fallback
31022,성남시중원구,L1010000,sido-fallback
31023,성남시분당구,L1010000,sido-fallback
31030,의정부시,L1011700,exact
31041,안양시만안구,L1010000,sido-fallback
31042,안양시동안구,L1010000,sido-fallback
31050,부천시,L1010600,exact
31060,광명시,L1010200,exact
31070,평택시,L1012500,exact
31080,동두천시,L1011100,exact
31091,안산시상록구,L1010000,sido-fallback
31092,안산시단원구,L1010000,sido-fallback
31101,고양시덕양구,L1010000,sido-fallback
31103,고양시일산동구,L1010000,sido-fallback
31104,고양시일산서구,L1010000,sido-fallback
31110,과천시,L1010300,exact
31120,구리시,L1012200,exact
31130,남양주시,L1012300,exact
31140,오산시,L1012400,exact
31150,시흥시,L1010500,exact
31160,군포시,L1012600,exact
31170,의왕시,L1012700,exact
31180,하남시,L1012800,exact
31191,용인시처인구,L1010000,sido-fallback
31192,용인시기흥구,L1010000,sido-fallback
31193,용인시수지구,L1010000,sido-fallback
31200,파주시,L1013700,exact
31210,이천시,L1013000,exact
31220,안성시,L1013100,exact
31230,김포시,L1010700,exact
31240,화성시,L1013200,exact
31250,광주시,L1013400,exact
31260,양주시,L1011600,exact
31270,포천시,L1011300,exact
31280,여주시,L1013900,exact
31350,연천군,L1011200,exact
31370,가평군,L1011400,exact
31380,양평군,L1014400,exact
32010,춘천시,L1021600,exact
32020,원주시,L1021200,exact
32030,강릉시,L1022500,exact
32040,동해시,L1021900,exact
32050,태백시,L1020300,exact
32060,속초시,L1022100,exact
32070,삼척시,L1022000,exact
32310,홍천군,L1022700,exact
32320,횡성군,L1021100,exact
32330,영월군,L1020800,exact
32340,평창군,L1022400,exact
32350,정선군,L1022600,exact
32360,철원군,L1021300,exact
32370,화천군,L1021400,exact
32380,양구군,L1022800,exact
32390,인제군,L1022900,exact
32400,고성군,L1082300,exact
32410,양양군,L1022300,exact
33020,충주시,L1040800,exact
33030,제천시,L1040900,exact
33041,청주시상당구,L1040000,sido-fallback
33042,청주시서원구,L1040000,sido-fallback
33043,청주시흥덕구,L1040000,sido-fallback
33044,청주시청원구,L1040000,sido-fallback
33320,보은군,L1040300,exact
33330,옥천군,L1040600,exact
33340,영동군,L1040700,exact
33350,진천군,L1041000,exact
33360,괴산군,L1040400,exact
33370,음성군,L1041100,exact
33380,단양군,L1041200,exact
33390,증평군,L1041300,exact
