year,stn,name,month,month_dev,cum_dev
2024,90,속초,1,,
2024,90,속초,2,,
2024,90,속초,3,35.6,86.5
2024,90,속초,4,30.1,40.2
2024,90,속초,5,11.3,23.2
2024,90,속초,6,15.8,20.1
2024,90,속초,7,18.7,19.6
2024,90,속초,8,17.6,19.0
2024,90,속초,9,15.8,18.7
2024,95,철원,1,,
2024,95,철원,2,,
2024,95,철원,3,402.7,532.2
2024,95,철원,4,74.2,93.7
2024,95,철원,5,0.9,30.7
2024,95,철원,6,8.0,19.8
2024,95,철원,7,8.0,15.5
2024,95,철원,8,17.0,15.9
2024,95,철원,9,26.9,17.1
2024,98,동두천,1,,
2024,98,동두천,2,,
2024,98,동두천,3,69.0,104.5
2024,98,동두천,4,55.9,63.7
2024,98,동두천,5,-3.4,22.8
2024,98,동두천,6,5.1,14.9
2024,98,동두천,7,5.2,11.6
2024,98,동두천,8,13.4,12.1
2024,98,동두천,9,22.0,13.2
2024,99,파주,1,,
2024,99,파주,2,,
2024,99,파주,3,91.1,118.7
2024,99,파주,4,58.2,64.9
2024,99,파주,5,-5.2,19.3
2024,99,파주,6,3.8,12.1
2024,99,파주,7,4.9,9.5
2024,99,파주,8,12.5,10.3
2024,99,파주,9,22.2,11.6
2024,101,춘천,1,,
2024,101,춘천,2,,
2024,101,춘천,3,102.6,134.1
2024,101,춘천,4,48.3,58.8
2024,101,춘천,5,-2.6,20.2
2024,101,춘천,6,4.8,13.1
2024,101,춘천,7,4.7,10.2
2024,101,춘천,8,14.7,11.3
2024,101,춘천,9,23.1,12.6
2024,102,백령도,1,,
2024,102,백령도,2,,
2024,102,백령도,3,453.7,542.1
2024,102,백령도,4,57.7,89.4
2024,102,백령도,5,1.9,30.0
2024,102,백령도,6,9.1,19.7
2024,102,백령도,7,5.9,14.4
2024,102,백령도,8,13.4,14.1
2024,102,백령도,9,18.6,14.7
2024,105,강릉,1,,
2024,105,강릉,2,,
2024,105,강릉,3,36.0,108.1
2024,105,강릉,4,34.6,50.4
2024,105,강릉,5,11.0,28.0
2024,105,강릉,6,18.0,23.9
2024,105,강릉,7,16.1,21.3
2024,105,강릉,8,17.5,20.3
2024,105,강릉,9,18.2,20.1
2024,106,동해,1,,
2024,106,동해,2,,
2024,106,동해,3,42.4,110.0
2024,106,동해,4,33.5,49.6
2024,106,동해,5,9.8,26.8
2024,106,동해,6,17.8,23.1
2024,106,동해,7,19.0,21.7
2024,106,동해,8,17.7,20.6
2024,106,동해,9,24.3,21.0
2024,108,서울,1,,
2024,108,서울,2,,
2024,108,서울,3,74.5,120.8
2024,108,서울,4,50.5,63.0
2024,108,서울,5,1.4,26.5
2024,108,서울,6,10.1,19.4
2024,108,서울,7,5.7,14.8
2024,108,서울,8,15.5,15.0
2024,108,서울,9,25.9,16.2
2024,112,인천,1,,
2024,112,인천,2,,
2024,112,인천,3,76.0,120.7
2024,112,인천,4,43.5,56.3
2024,112,인천,5,-2.2,21.1
2024,112,인천,6,8.0,15.3
2024,112,인천,7,5.6,11.9
2024,112,인천,8,15.3,12.8
2024,112,인천,9,24.1,14.2
2024,114,원주,1,,
2024,114,원주,2,,
2024,114,원주,3,129.7,190.1
2024,114,원주,4,56.8,76.3
2024,114,원주,5,4.8,32.6
2024,114,원주,6,7.8,21.6
2024,114,원주,7,6.7,16.4
2024,114,원주,8,14.1,15.8
2024,114,원주,9,29.1,17.3
2024,115,울릉도,1,,
2024,115,울릉도,2,,
2024,115,울릉도,3,98.4,207.8
2024,115,울릉도,4,41.6,71.0
2024,115,울릉도,5,4.8,31.6
2024,115,울릉도,6,17.1,25.4
2024,115,울릉도,7,15.1,21.8
2024,115,울릉도,8,16.6,20.3
2024,115,울릉도,9,25.0,20.9
2024,119,수원,1,,
2024,119,수원,2,,
2024,119,수원,3,87.6,133.0
2024,119,수원,4,42.9,57.1
2024,119,수원,5,-3.4,20.3
2024,119,수원,6,2.7,12.5
2024,119,수원,7,4.0,9.5
2024,119,수원,8,11.6,10.1
2024,119,수원,9,24.6,11.8
2024,121,영월,1,,
2024,121,영월,2,,
2024,121,영월,3,167.0,222.2
2024,121,영월,4,59.8,79.5
2024,121,영월,5,2.4,31.1
2024,121,영월,6,5.9,19.6
2024,121,영월,7,5.1,14.5
2024,121,영월,8,12.8,14.0
2024,121,영월,9,28.5,15.6
2024,127,충주,1,,
2024,127,충주,2,,
2024,127,충주,3,105.0,152.6
2024,127,충주,4,54.0,67.5
2024,127,충주,5,1.6,26.8
2024,127,충주,6,4.4,16.7
2024,127,충주,7,7.2,13.3
2024,127,충주,8,12.8,13.2
2024,127,충주,9,30.2,15.1
2024,129,서산,1,,
2024,129,서산,2,,
2024,129,서산,3,188.1,270.8
2024,129,서산,4,58.3,81.6
2024,129,서산,5,0.2,29.4
2024,129,서산,6,7.7,19.3
2024,129,서산,7,7.0,14.8
2024,129,서산,8,14.4,14.7
2024,129,서산,9,28.8,16.4
2024,130,울진,1,,
2024,130,울진,2,,
2024,130,울진,3,30.2,110.1
2024,130,울진,4,25.6,44.0
2024,130,울진,5,4.3,21.5
2024,130,울진,6,12.9,18.0
2024,130,울진,7,12.9,16.2
2024,130,울진,8,15.4,16.0
2024,130,울진,9,23.9,16.9
2024,131,청주,1,,
2024,131,청주,2,,
2024,131,청주,3,90.1,143.3
2024,131,청주,4,48.6,66.7
2024,131,청주,5,4.8,30.5
2024,131,청주,6,10.5,22.0
2024,131,청주,7,8.3,17.4
2024,131,청주,8,16.2,17.1
2024,131,청주,9,33.1,18.8
2024,133,대전,1,,
2024,133,대전,2,,
2024,133,대전,3,54.3,100.3
2024,133,대전,4,40.1,52.0
2024,133,대전,5,-0.5,21.5
2024,133,대전,6,7.1,15.4
2024,133,대전,7,5.3,12.0
2024,133,대전,8,13.2,12.3
2024,133,대전,9,31.8,14.4
2024,135,추풍령,1,,
2024,135,추풍령,2,,
2024,135,추풍령,3,62.7,104.1
2024,135,추풍령,4,38.0,48.2
2024,135,추풍령,5,-1.7,18.1
2024,135,추풍령,6,5.0,12.3
2024,135,추풍령,7,6.4,10.2
2024,135,추풍령,8,13.2,11.0
2024,135,추풍령,9,31.3,13.3
2024,136,안동,1,,
2024,136,안동,2,,
2024,136,안동,3,58.6,94.2
2024,136,안동,4,39.1,48.5
2024,136,안동,5,0.1,19.6
2024,136,안동,6,7.2,14.2
2024,136,안동,7,8.1,12.1
2024,136,안동,8,15.2,12.9
2024,136,안동,9,31.4,14.9
2024,137,상주,1,,
2024,137,상주,2,,
2024,137,상주,3,39.4,66.4
2024,137,상주,4,36.6,43.2
2024,137,상주,5,-0.8,17.7
2024,137,상주,6,6.4,13.0
2024,137,상주,7,7.6,11.2
2024,137,상주,8,13.2,11.7
2024,137,상주,9,31.2,13.8
2024,138,포항,1,,
2024,138,포항,2,556.9,855.6
2024,138,포항,3,9.1,63.0
2024,138,포항,4,19.7,33.1
2024,138,포항,5,2.6,17.4
2024,138,포항,6,11.0,14.9
2024,138,포항,7,10.0,13.3
2024,138,포항,8,10.1,12.5
2024,138,포항,9,21.4,13.5
2024,140,군산,1,,
2024,140,군산,2,,
2024,140,군산,3,93.2,173.2
2024,140,군산,4,41.7,64.2
2024,140,군산,5,-0.8,24.6
2024,140,군산,6,5.2,16.0
2024,140,군산,7,7.5,12.9
2024,140,군산,8,12.9,12.9
2024,140,군산,9,27.6,14.6
2024,143,대구,1,,
2024,143,대구,2,82900.0,100600.0
2024,143,대구,3,28.6,80.2
2024,143,대구,4,22.4,37.1
2024,143,대구,5,1.3,17.8
2024,143,대구,6,9.3,14.5
2024,143,대구,7,8.4,12.5
2024,143,대구,8,12.9,12.6
2024,143,대구,9,25.2,14.0
2024,146,전주,1,,
2024,146,전주,2,,
2024,146,전주,3,94.9,197.6
2024,146,전주,4,45.0,75.2
2024,146,전주,5,5.1,34.6
