reg_id,reg_up,reg_ko,reg_name,kind
L1000000,00000000,전국,전국,land
L1010000,L1000000,경기도,경기도,land
L1010200,L1010000,광명,광명시,land
L1010300,L1010000,과천,과천시,land
L1010400,L1010000,안산,안산시,land
L1010500,L1010000,시흥,시흥시,land
L1010600,L1010000,부천,부천시,land
L1010700,L1010000,김포,김포시,land
L1010900,L1110000,강화,강화군,land
L1011100,L1010000,동두천,동두천시,land
L1011200,L1010000,연천,연천군,land
L1011300,L1010000,포천,포천시,land
L1011400,L1010000,가평,가평군,land
L1011500,L1010000,고양,고양시,land
L1011600,L1010000,양주,양주시,land
L1011700,L1010000,의정부,의정부시,land
L1011900,L1010000,수원,수원시,land
L1012000,L1010000,성남,성남시,land
L1012100,L1010000,안양,안양시,land
L1012200,L1010000,구리,구리시,land
L1012300,L1010000,남양주,남양주시,land
L1012400,L1010000,오산,오산시,land
L1012500,L1010000,평택,평택시,land
L1012600,L1010000,군포,군포시,land
L1012700,L1010000,의왕,의왕시,land
L1012800,L1010000,하남,하남시,land
L1013000,L1010000,이천,이천시,land
L1013100,L1010000,안성,안성시,land
L1013200,L1010000,화성,화성시,land
L1013400,L1010000,광주,광주시,land
L1013600,L1110000,옹진,옹진군,land
L1013700,L1010000,파주,파주시,land
L1013710,L1013700,파주동북부,파주시동북부,land
L1013720,L1013700,파주서북부,파주시서북부,land
L1013730,L1013700,파주남부,파주시남부,land
L1013800,L1010000,용인,용인시,land
L1013810,L1013800,용인동북부,용인시동북부,land
L1013820,L1013800,용인서북부,용인시서북부,land
L1013830,L1013800,용인남부,용인시남부,land
L1013900,L1010000,여주,여주시,land
L1013910,L1013900,여주동남부,여주시동남부,land
L1013920,L1013900,여주서부,여주시서부,land
L1014000,L1000000,서해5도,서해5도,land
L1014200,L1014000,백령도.대청도,백령도.대청도,land
L1014300,L1014000,연평도.우도,연평도.우도,land
L1014400,L1010000,양평,양평군,land
L1014410,L1014400,양평동부,양평군동부,land
L1014420,L1014400,양평서부,양평군서부,land
L1020000,L1000000,강원도,강원도,land
L1020300,L1020000,태백,태백시,land
L1020800,L1020000,영월,영월군,land
L1021100,L1020000,횡성,횡성군,land
L1021200,L1020000,원주,원주시,land
L1021300,L1020000,철원,철원군,land
L1021400,L1020000,화천,화천군,land
L1021600,L1020000,춘천,춘천시,land
L1021900,L1020000,동해,동해시,land
L1021910,L1021900,동해평지,동해시평지,land
L1021920,L1021900,동해산지,동해시산지,land
L1022000,L1020000,삼척,삼척시,land
L1022010,L1022000,삼척평지,삼척시평지,land
L1022020,L1022000,삼척산지,삼척시산지,land
L1022100,L1020000,속초,속초시,land
L1022110,L1022100,속초평지,속초시평지,land
L1022120,L1022100,속초산지,속초시산지,land
L1022200,L1020000,고성,고성군,land
L1022210,L1022200,고성평지,고성군평지,land
L1022220,L1022200,고성산지,고성군산지,land
L1022300,L1020000,양양,양양군,land
L1022310,L1022300,양양평지,양양군평지,land
L1022320,L1022300,양양산지,양양군산지,land
L1022400,L1020000,평창,평창군,land
L1022410,L1022400,평창평지,평창군평지,land
L1022420,L1022400,평창산지,평창군산지,land
L1022500,L1020000,강릉,강릉시,land
L1022510,L1022500,강릉평지,강릉시평지,land
L1022520,L1022500,강릉산지,강릉시산지,land
L1022600,L1020000,정선,정선군,land
L1022610,L1022600,정선평지,정선군평지,land
L1022620,L1022600,정선산지,정선군산지,land
L1022700,L1020000,홍천,홍천군,land
L1022710,L1022700,홍천평지,홍천군평지,land
L1022720,L1022700,홍천산지,홍천군산지,land
L1022800,L1020000,양구,양구군,land
L1022810,L1022800,양구평지,양구군평지,land
L1022820,L1022800,양구산지,양구군산지,land
L1022900,L1020000,인제,인제군,land
L1022910,L1022900,인제평지,인제군평지,land
L1022920,L1022900,인제산지,인제군산지,land
L1030000,L1000000,충청남도,충청남도,land
L1030100,L1120000,대전,대전광역시,land
L1030200,L1030000,천안,천안시,land
L1030300,L1030000,공주,공주시,land
L1030400,L1030000,아산,아산시,land
L1030500,L1030000,논산,논산시,land
L1030600,L1030000,금산,금산군,land
L1030800,L1030000,부여,부여군,land
L1030900,L1030000,청양,청양군,land
L1031000,L1030000,예산,예산군,land
L1031100,L1030000,태안,태안군,land
L1031200,L1030000,당진,당진시,land
L1031300,L1030000,서산,서산시,land
L1031500,L1030000,서천,서천군,land
L1031700,L1030000,계룡,계룡시,land
L1031900,L1030000,보령,보령시,land
L1031910,L1031900,보령(도서제외),보령(도서제외),land
L1031920,L1031900,보령도서,보령도서,land
L1032000,L1030000,홍성,홍성군,land
L1032010,L1032000,홍성동부,홍성군동부,land
L1032020,L1032000,홍성서부,홍성군서부,land
L1040000,L1000000,충청북도,충청북도,land
L1040300,L1040000,보은,보은군,land
L1040400,L1040000,괴산,괴산군,land
L1040600,L1040000,옥천,옥천군,land
L1040700,L1040000,영동,영동군,land
L1040800,L1040000,충주,충주시,land
L1040900,L1040000,제천,제천시,land
L1041000,L1040000,진천,진천군,land
L1041100,L1040000,음성,음성군,land
L1041200,L1040000,단양,단양군,land
L1041300,L1040000,증평,증평군,land
L1041400,L1040000,청주,청주시,land
L1041410,L1041400,청주동부,청주시동부,land
L1041420,L1041400,청주서부,청주시서부,land
L1050000,L1000000,전라남도,전라남도,land
L1050300,L1050000,담양,담양군,land
L1050600,L1050000,장성,장성군,land
L1050700,L1050000,화순,화순군,land
L1050900,L1050000,보성,보성군,land
L1051000,L1050000,여수,여수시,land
L1051100,L1050000,광양,광양시,land
L1051200,L1050000,순천,순천시,land
L1051300,L1050000,장흥,장흥군,land
L1051400,L1050000,강진,강진군,land
L1051700,L1050000,영암,영암군,land
L1051900,L1050000,함평,함평군,land
L1052100,L1050000,목포,목포시,land
L1052200,L1050000,신안(흑산면제외),신안군(흑산면제외),land
L1052300,L1050000,진도,진도군,land
L1052400,L1000000,흑산도.홍도,흑산도.홍도,land
L1052500,L1052400,흑산도.홍도,흑산도.홍도,land
L1052600,L1050000,거문도.초도,거문도.초도,land
L1052700,L1050000,영광,영광군,land
L1052710,L1052700,영광(낙월면,제외) 영광군(낙월면 제외),land
L1052720,L1052700,영광낙월면,영광낙월면,land
L1052800,L1050000,나주,나주시,land
L1052810,L1052800,나주동남부,나주시동남부,land
L1052820,L1052800,나주서북부,나주시서북부,land
L1052900,L1050000,곡성,곡성군,land
L1052910,L1052900,곡성북부,곡성군북부,land
L1052920,L1052900,곡성남부,곡성군남부,land
L1053000,L1050000,구례,구례군,land
L1053010,L1053000,구례평지,구례군평지,land
L1053020,L1053000,구례산간,구례군산간,land
L1053100,L1050000,고흥,고흥군,land
L1053110,L1053100,고흥북부,고흥군북부,land
L1053120,L1053100,고흥남부,고흥군남부,land
L1053200,L1050000,해남,해남군,land
L1053210,L1053200,해남북부,해남군북부,land
L1053220,L1053200,해남남부,해남군남부,land
L1053300,L1050000,완도,완도군,land
L1053310,L1053300,완도(여서도,제외) 완도군(여서도 제외),land
L1053320,L1053300,완도여서도,완도군여서도,land
L1053400,L1050000,무안,무안군,land
L1053410,L1053400,무안북부,무안군북부,land
L1053420,L1053400,무안남부,무안군남부,land
L1060000,L1000000,전북자치도,전북자치도,land
L1060100,L1060000,고창,고창군,land
L1060400,L1060000,김제,김제시,land
L1060500,L1060000,완주,완주군,land
L1060600,L1060000,진안,진안군,land
L1060700,L1060000,무주,무주군,land
L1060800,L1060000,장수,장수군,land
L1060900,L1060000,임실,임실군,land
L1061000,L1060000,순창,순창군,land
L1061100,L1060000,익산,익산시,land
L1061200,L1060000,정읍,정읍시,land
L1061300,L1060000,전주,전주시,land
L1061400,L1060000,남원,남원시,land
L1061500,L1060000,부안,부안군,land
L1061510,L1061500,부안(위도면,제외) 부안군(위도면 제외),land
L1061520,L1061500,부안위도면,부안위도면,land
L1061600,L1060000,군산,군산시,land
L1061610,L1061600,군산(옥도면,제외) 군산시(옥도면 제외),land
L1061620,L1061600,군산옥도면(어청도,제외) 군산옥도면(어청도 제외),land
L1061630,L1061600,군산어청도,군산어청도,land
L1070000,L1000000,경상북도,경상북도,land
L1070200,L1140000,군위,군위군,land
L1070300,L1070000,구미,구미시,land
L1070400,L1070000,영천,영천시,land
L1070500,L1070000,경산,경산시,land
L1070700,L1070000,청도,청도군,land
L1070800,L1070000,고령,고령군,land
L1070900,L1070000,성주,성주군,land
L1071000,L1070000,칠곡,칠곡군,land
L1071200,L1070000,상주,상주시,land
L1071300,L1070000,문경,문경시,land
L1071400,L1070000,예천,예천군,land
L1071600,L1070000,영주,영주시,land
L1071700,L1070000,의성,의성군,land
L1071800,L1070000,청송,청송군,land
L1072100,L1600000,울릉도.독도,울릉도.독도,land
L1072200,L1070000,영덕,영덕군,land
L1072400,L1070000,포항,포항시,land
L1072600,L1070000,김천,김천시,land
L1072610,L1072600,김천북부,김천시북부,land
L1072620,L1072600,김천남부,김천시남부,land
L1072700,L1070000,안동,안동시,land
L1072710,L1072700,안동북부,안동시북부,land
L1072720,L1072700,안동동남부,안동시동남부,land
L1072730,L1072700,안동서부,안동시서부,land
L1072800,L1070000,영양,영양군,land
L1072810,L1072800,영양평지,영양군평지,land
L1072820,L1072800,영양산지,영양군산지,land
L1072900,L1070000,봉화,봉화군,land
L1072910,L1072900,봉화평지,봉화군평지,land
L1072920,L1072900,봉화산지,봉화군산지,land
L1073000,L1070000,울진,울진군,land
L1073010,L1073000,울진평지,울진군평지,land
L1073020,L1073000,울진산지,울진군산지,land
L1073100,L1070000,경주,경주시,land
L1073110,L1073100,경주중북부,경주시중북부,land
L1073120,L1073100,경주동부,경주시동부,land
L1073130,L1073100,경주남부,경주시남부,land
L1073140,L1073100,경주서부,경주시서부,land
L1080000,L1000000,경상남도,경상남도,land
L1080500,L1080000,양산,양산시,land
L1080600,L1080000,창원,창원시,land
L1080900,L1080000,김해,김해시,land
L1081000,L1080000,밀양,밀양시,land
L1081100,L1080000,의령,의령군,land
L1081200,L1080000,함안,함안군,land
L1081300,L1080000,창녕,창녕군,land
L1081400,L1080000,진주,진주시,land
L1082000,L1080000,통영,통영시,land
L1082100,L1080000,사천,사천시,land
L1082200,L1080000,거제,거제시,land
L1082300,L1080000,고성,고성군,land
L1082400,L1080000,남해,남해군,land
L1082500,L1150000,부산동부,부산동부,land
L1082600,L1150000,부산중부,부산중부,land
L1082700,L1150000,부산서부,부산서부,land
L1082800,L1160000,울산동부,울산동부,land
L1082900,L1160000,울산서부,울산서부,land
L1083000,L1080000,하동,하동군,land
L1083010,L1083000,하동북부,하동군북부,land
L1083020,L1083000,하동남부,하동군남부,land
L1083100,L1080000,산청,산청군,land
L1083110,L1083100,산청북부,산청군북부,land
L1083120,L1083100,산청서남부,산청군서남부,land
L1083130,L1083100,산청동남부,산청군동남부,land
L1083200,L1080000,함양,함양군,land
L1083210,L1083200,함양중부,함양중부,land
L1083220,L1083200,함양서북부,함양서북부,land
L1083300,L1080000,거창,거창군,land
L1083310,L1083300,거창북부,거창군북부,land
L1083320,L1083300,거창남부,거창군남부,land
L1083400,L1080000,합천,합천군,land
L1083410,L1083400,합천서북부,합천군서북부,land
L1083420,L1083400,합천중부,합천군중부,land
L1083430,L1083400,합천남부,합천군남부,land
L1090000,L1000000,제주도,제주도,land
L1090500,L1090000,제주도산지,제주도산지,land
L1091000,L1090000,추자도,추자도,land
L1091300,L1090000,제주시(산지,제외) 제주시(산지 제외),land
L1091310,L1091300,제주시서부,제주시서부,land
L1091320,L1091300,제주시북부,제주시북부,land
L1091330,L1091300,제주시동부,제주시동부,land
L1091340,L1091300,제주시중산간,제주시중산간,land
L1091400,L1090000,서귀포시(산지,제외) 서귀포시(산지 제외),land
L1091410,L1091400,서귀포시서부,서귀포시서부,land
L1091420,L1091400,서귀포시남부,서귀포시남부,land
L1091430,L1091400,서귀포시동부,서귀포시동부,land
L1091440,L1091400,서귀포시중산간,서귀포시중산간,land
L1100000,L1000000,서울,서울특별시,land
L1100100,L1100000,서울동남권,서울동남권,land
L1100200,L1100000,서울동북권,서울동북권,land
L1100300,L1100000,서울서남권,서울서남권,land
L1100400,L1100000,서울서북권,서울서북권,land
L1110000,L1000000,인천,인천광역시,land
L1110100,L1110000,인천,인천광역시,land
L1110110,L1110100,인천영종,인천영종,land
L1110120,L1110100,인천남부,인천남부,land
L1110130,L1110100,인천북부,인천북부,land
L1120000,L1000000,대전,대전광역시,land
L1130000,L1000000,광주,광주광역시,land
L1130100,L1130000,광주,광주광역시,land
L1130110,L1130100,광주서부,광주서부,land
L1130120,L1130100,광주동부,광주동부,land
L1140000,L1000000,대구,대구광역시,land
L1140100,L1140000,대구중부,대구중부,land
L1140200,L1140000,달성,달성군,land
L1140210,L1140200,달성북부,달성군북부,land
L1140220,L1140200,달성남부,달성군남부,land
L1150000,L1000000,부산,부산광역시,land
L1160000,L1000000,울산,울산광역시,land
L1170000,L1000000,세종,세종특별자치시,land
L1170100,L1170000,세종,세종특별자치시,land
L1170110,L1170100,세종북부,세종북부,land
L1170120,L1170100,세종남부,세종남부,land
